episode,return,rolling_mean_return_100,step
203,15.0,5.12,203
204,14.0,5.26,204
205,0.0,5.26,205
206,0.0,5.26,206
207,7.0,5.33,207
208,0.0,5.33,208
209,0.0,5.33,209
210,11.0,5.25,210
211,0.0,5.25,211
212,10.0,5.35,212
213,0.0,5.35,213
214,13.0,5.48,214
215,0.0,5.48,215
216,0.0,5.48,216
217,10.0,5.58,217
218,0.0,5.58,218
219,0.0,5.55,219
220,7.0,5.62,220
221,10.0,5.44,221
222,0.0,5.44,222
223,0.0,5.44,223
224,0.0,5.44,224
225,0.0,5.29,225
226,0.0,5.29,226
227,0.0,4.99,227
228,0.0,4.91,228
229,0.0,4.91,229
230,0.0,4.77,230
231,0.0,4.77,231
232,0.0,4.77,232
233,0.0,4.77,233
234,0.0,4.56,234
235,0.0,4.56,235
236,0.0,4.56,236
237,0.0,4.41,237
238,25.0,4.66,238
239,0.0,4.66,239
240,0.0,4.66,240
241,0.0,4.63,241
242,7.0,4.7,242
243,0.0,4.53,243
244,0.0,4.4,244
245,0.0,4.4,245
246,0.0,4.4,246
247,10.0,4.5,247
248,17.0,4.67,248
249,0.0,4.67,249
250,0.0,4.64,250
251,0.0,4.64,251
252,0.0,4.64,252
253,0.0,4.64,253
254,0.0,4.51,254
255,5.0,4.56,255
256,0.0,4.42,256
257,0.0,4.42,257
258,0.0,4.42,258
259,0.0,4.21,259
260,0.0,4.06,260
261,17.0,4.23,261
262,0.0,4.08,262
263,0.0,3.96,263
264,0.0,3.96,264
265,0.0,3.96,265
266,0.0,3.81,266
267,4.0,3.85,267
268,19.0,4.04,268
269,0.0,4.04,269
270,0.0,3.89,270
271,0.0,3.89,271
272,0.0,3.83,272
273,0.0,3.73,273
274,18.0,3.87,274
275,0.0,3.84,275
276,0.0,3.84,276
277,0.0,3.84,277
278,0.0,3.84,278
279,0.0,3.84,279
280,0.0,3.65,280
281,0.0,3.65,281
282,15.0,3.6,282
283,0.0,3.6,283
284,0.0,3.6,284
285,10.0,3.7,285
286,11.0,3.65,286
287,0.0,3.55,287
288,26.0,3.73,288
289,0.0,3.73,289
290,0.0,3.73,290
291,0.0,3.73,291
292,0.0,3.52,292
293,0.0,3.52,293
294,7.0,3.46,294
295,0.0,3.34,295
296,0.0,3.34,296
297,0.0,3.2,297
298,0.0,3.08,298
299,2.0,3.1,299
300,0.0,3.1,300
301,0.0,2.9,301
302,0.0,2.9,302
303,0.0,2.75,303
304,0.0,2.61,304
305,19.0,2.8,305
306,0.0,2.8,306
307,15.0,2.88,307
308,8.0,2.96,308
309,15.0,3.11,309
310,16.0,3.16,310
311,0.0,3.16,311
312,0.0,3.06,312
313,14.0,3.2,313
314,0.0,3.07,314
315,11.0,3.18,315
316,0.0,3.18,316
317,0.0,3.08,317
318,12.0,3.2,318
319,15.0,3.35,319
320,0.0,3.28,320
321,7.0,3.25,321
322,0.0,3.25,322
323,0.0,3.25,323
324,0.0,3.25,324
325,0.0,3.25,325
