episode,return,rolling_mean_reward
1,0.0,0.0
2,-0.01,-0.005
3,0.0,-0.0033333333333333335
4,0.0,-0.0025
5,0.0,-0.002
6,0.0,-0.0016666666666666668
7,17.0,2.427142857142857
8,6.0,2.87375
9,0.0,2.554444444444444
10,16.0,3.899
11,-0.02,3.5427272727272725
12,16.0,4.5808333333333335
13,-0.02,4.226923076923077
14,14.0,4.925
15,0.0,4.596666666666667
16,0.0,4.309375
17,16.0,4.997058823529412
18,-0.01,4.7188888888888885
19,-0.01,4.470000000000001
20,0.0,4.2465
21,-0.01,4.043809523809524
22,0.0,3.86
23,0.0,3.6921739130434785
24,0.0,3.5383333333333336
25,0.0,3.3968000000000003
26,7.0,3.5353846153846153
27,0.0,3.4044444444444446
28,0.0,3.282857142857143
29,19.0,3.824827586206897
30,0.0,3.6973333333333334
31,0.0,3.5780645161290323
32,0.0,3.46625
33,12.0,3.724848484848485
34,22.0,4.26235294117647
35,0.0,4.140571428571429
36,-0.01,4.025277777777777
37,0.0,3.9164864864864866
38,0.0,3.813421052631579
39,0.0,3.7156410256410255
40,15.0,3.99775
41,-0.02,3.8997560975609753
42,7.0,3.9735714285714283
43,-0.01,3.8809302325581396
44,0.0,3.7927272727272725
45,10.0,3.9306666666666668
46,0.0,3.845217391304348
47,0.0,3.763404255319149
48,19.0,4.0808333333333335
49,15.0,4.303673469387755
50,-0.01,4.2174000000000005
51,7.0,4.271960784313726
52,0.0,4.189807692307692
53,9.0,4.280566037735849
54,3.0,4.256851851851852
55,-0.02,4.179090909090909
56,0.0,4.104464285714285
57,-0.02,4.032105263157895
58,4.0,4.031551724137931
59,0.0,3.963220338983051
60,-0.01,3.897
61,0.0,3.8331147540983603
62,0.0,3.771290322580645
63,10.0,3.87015873015873
64,-0.02,3.809375
65,0.0,3.750769230769231
66,0.0,3.6939393939393943
67,0.0,3.638805970149254
68,0.0,3.585294117647059
69,0.0,3.5333333333333337
70,0.0,3.482857142857143
71,2.0,3.4619718309859158
72,0.0,3.413888888888889
73,0.0,3.367123287671233
74,-0.02,3.3213513513513515
75,0.0,3.277066666666667
76,0.0,3.2339473684210525
77,11.0,3.3348051948051944
78,0.0,3.2920512820512817
79,0.0,3.2503797468354425
80,0.0,3.2097499999999997
81,0.0,3.1701234567901233
82,0.0,3.131463414634146
83,6.0,3.166024096385542
84,17.99,3.3425
85,-0.01,3.303058823529412
86,14.0,3.427441860465116
87,0.0,3.3880459770114943
88,0.0,3.3495454545454546
89,0.0,3.3119101123595502
90,0.0,3.275111111111111
91,7.0,3.316043956043956
92,0.0,3.28
93,0.0,3.244731182795699
94,0.0,3.2102127659574466
95,-0.01,3.1763157894736844
96,0.0,3.1432291666666665
97,16.0,3.2757731958762886
98,7.99,3.3238775510204084
99,0.0,3.2903030303030305
100,-0.01,3.2573000000000003
101,0.0,3.2573000000000003
102,17.0,3.4274
103,0.0,3.4274
104,0.0,3.4274
105,0.0,3.4274
106,20.0,3.6274
107,0.0,3.4574000000000003
108,0.0,3.3974
109,17.0,3.5674
110,7.0,3.4774000000000003
111,0.0,3.4776
112,0.0,3.3176
113,8.98,3.4076
114,-0.01,3.2675
115,-0.01,3.2674000000000003
116,19.0,3.4574000000000003
117,-0.02,3.2972
118,4.0,3.3373000000000004
119,-0.01,3.3373000000000004
120,-0.01,3.3372
121,23.99,3.5771999999999995
122,10.0,3.6771999999999996
123,0.0,3.6771999999999996
124,0.0,3.6771999999999996
125,-0.01,3.6771
126,-0.01,3.6069999999999998
127,0.0,3.6069999999999998
128,-0.02,3.6068000000000002
129,0.0,3.4168000000000003
130,15.0,3.5668
131,0.0,3.5668
132,0.0,3.5668
133,11.0,3.5568
134,0.0,3.3368
135,0.0,3.3368
136,7.0,3.4069
137,-0.01,3.4068
138,22.99,3.6367000000000003
139,-0.01,3.6365999999999996
140,16.0,3.6466
141,0.0,3.6468000000000003
142,0.0,3.5768
143,0.0,3.5769
144,6.0,3.6369
145,0.0,3.5369
146,2.0,3.5569
147,-0.01,3.5568
148,15.0,3.5168
149,0.0,3.3668
150,0.0,3.3669
151,0.0,3.2969
152,0.0,3.2969
153,-0.01,3.2068
154,-0.01,3.1767000000000003
155,0.0,3.1769
156,-0.03,3.1765999999999996
157,19.99,3.3767
158,4.0,3.3767
159,0.0,3.3767
160,7.99,3.4567
161,13.0,3.5867
162,0.0,3.5867
163,10.0,3.5867
164,0.0,3.5869
165,0.0,3.5869
166,0.0,3.5869
167,-0.01,3.5868
168,0.0,3.5868
169,0.0,3.5868
170,12.0,3.7068
171,0.0,3.6868
172,-0.02,3.6866
173,13.0,3.8165999999999998
174,0.0,3.8168
175,-0.01,3.8167
176,-0.01,3.8165999999999998
177,0.0,3.7066
178,13.0,3.8366
