step,policy_loss,value_loss,entropy
0,1.862645149230957e-08,6.608301162719727,2.6182360649108887
1,0.010813010856509209,0.003606420010328293,3.2718539237976074
2,2.9802322387695312e-08,3.8398826122283936,3.2207276821136475
3,3.762543201446533e-07,0.001920374110341072,2.121366500854492
4,-2.2351741790771484e-08,11.076651573181152,3.666954755783081
5,-2.9802322387695312e-08,3.469276189804077,3.127084493637085
6,-3.3527612686157227e-08,6.413822650909424,3.204232692718506
7,-7.450580596923828e-09,10.601520538330078,2.712411403656006
8,2.2351741790771484e-07,0.017846621572971344,2.723032236099243
9,-3.3527612686157227e-08,6.937858581542969,3.100372791290283
10,-1.30385160446167e-08,4.583302021026611,3.691559076309204
11,-1.210719347000122e-08,9.69135856628418,2.872967004776001
12,2.3096799850463867e-07,0.005353938322514296,2.42404842376709
13,-6.705522537231445e-08,8.077393531799316,3.151218891143799
14,3.650784492492676e-07,0.03751864284276962,3.435253858566284
15,5.774199962615967e-08,9.367656707763672,3.104315757751465
16,4.284083843231201e-08,0.008345505222678185,3.5228588581085205
17,-2.9802322387695312e-08,10.374958992004395,2.7625999450683594
18,-8.00006091594696e-07,0.037129905074834824,2.6600821018218994
19,2.60770320892334e-08,7.921099662780762,2.5159003734588623
20,-1.1548399925231934e-07,0.0026252013631165028,3.6235663890838623
21,1.4901161193847656e-08,9.65958023071289,2.57905650138855
22,7.450580596923828e-09,10.846019744873047,1.93308424949646
23,1.0337680578231812e-07,0.0009126513614319265,2.8035008907318115
24,1.1175870895385742e-08,8.245407104492188,2.601390838623047
25,-1.30385160446167e-08,11.116453170776367,2.2671151161193848
26,6.51925802230835e-08,7.509885787963867,3.156794309616089
27,-5.960464477539063e-08,9.448419570922852,2.382938861846924
28,2.60770320892334e-08,6.755252838134766,2.6585474014282227
29,-1.4901161193847656e-08,7.128055572509766,1.923009991645813
30,0.007040545344352722,0.04196153208613396,3.194446563720703
31,4.470348358154297e-08,16.45995330810547,3.6834499835968018
32,9.313225746154785e-09,8.578070640563965,3.1399049758911133
33,8.381903171539307e-09,1.0196434259414673,2.4702601432800293
34,-9.313225746154785e-09,5.887294769287109,3.040356159210205
35,-1.6763806343078613e-08,10.661725997924805,3.542590618133545
36,0.001503034494817257,0.004428268410265446,3.2156710624694824
37,-9.015202522277832e-07,0.0076552932150661945,2.4185729026794434
38,4.7963112592697144e-08,21.491992950439453,3.500093936920166
39,0.011323900893330574,0.00995046366006136,3.1297035217285156
40,7.82310962677002e-08,11.770942687988281,2.540844440460205
41,2.514570951461792e-08,0.8755543231964111,2.723126173019409
42,-1.1175870895385742e-08,7.696602821350098,2.9077000617980957
43,-4.842877388000488e-08,9.484130859375,2.1244726181030273
44,-1.862645149230957e-09,16.078685760498047,2.527272939682007
45,3.166496753692627e-08,11.71556282043457,2.270643949508667
46,-2.7939677238464355e-08,0.0005470929900184274,2.5240347385406494
47,-7.450580596923828e-09,11.183676719665527,3.158764600753784
48,3.3527612686157227e-08,0.0014903912087902427,3.133800745010376
49,-1.1175870895385742e-08,11.983787536621094,2.781619071960449
50,0.004734090529382229,0.018050581216812134,3.439380645751953
51,3.3155083656311035e-07,0.0008633127436041832,1.8923065662384033
52,6.146728992462158e-08,28.138721466064453,2.679210662841797
53,-9.685754776000977e-08,12.384515762329102,2.7769765853881836
54,-6.146728992462158e-07,0.00936462264508009,2.6581432819366455
55,2.60770320892334e-08,17.300914764404297,2.6671061515808105
56,2.5331974029541016e-07,0.0015715481713414192,3.8668580055236816
57,0.0011256318539381027,0.0003043262695427984,2.2663416862487793
58,-0.0,0.5007693767547607,2.649017095565796
59,0.008276790380477905,0.000556154758669436,3.4409866333007812
60,-1.4901161193847656e-08,14.270302772521973,1.9703044891357422
61,0.026005521416664124,0.008447322994470596,2.6697375774383545
62,3.3527612686157227e-08,15.605097770690918,1.9643689393997192
