update,policy_loss,value_loss,entropy,steps
0,0.038633644580841064,nan,0.0,3
1,0.012748443521559238,nan,0.0,4
2,0.011744231916964054,nan,0.0,5
3,0.01913665421307087,nan,0.0,7
4,0.03622693568468094,nan,0.0,11
5,0.012996908277273178,nan,0.0,12
6,0.011408430524170399,nan,0.0,13
7,0.01962459087371826,nan,0.0,15
8,0.020501062273979187,nan,0.0,17
9,0.03304612636566162,nan,0.0,19
10,0.023199519142508507,nan,0.0,24
11,0.023041199892759323,nan,0.0,26
12,0.029187526553869247,nan,0.0,31
13,0.027160068973898888,nan,0.0,34
14,0.010612083598971367,nan,0.0,35
15,0.01960930973291397,nan,0.0,37
16,0.011120431125164032,nan,0.0,38
17,0.03733743727207184,nan,0.0,41
18,0.033065881580114365,nan,0.0,45
19,0.011342651210725307,nan,0.0,46
20,0.04196248576045036,nan,0.0,50
21,0.034799374639987946,nan,0.0,52
22,0.0195373073220253,nan,0.0,54
23,0.016094369813799858,nan,0.0,55
24,0.026762722060084343,nan,0.0,58
25,0.013803049921989441,nan,0.0,59
26,0.02734372392296791,nan,0.0,61
27,0.038666509091854095,nan,0.0,64
28,0.03590092435479164,nan,0.0,67
29,0.037560395896434784,nan,0.0,70
30,0.04300558939576149,nan,0.0,75
31,0.026706796139478683,nan,0.0,78
32,0.02921711467206478,nan,0.0,83
33,0.018314111977815628,nan,0.0,85
34,0.009952502325177193,nan,0.0,86
35,0.02877095900475979,nan,0.0,91
36,0.016159992665052414,nan,0.0,92
37,0.01281773392111063,nan,0.0,93
38,0.01343531534075737,nan,0.0,94
39,0.009703894145786762,nan,0.0,95
40,0.013600409030914307,nan,0.0,96
41,0.011553698219358921,nan,0.0,97
42,0.036943428218364716,nan,0.0,101
43,0.021907929331064224,nan,0.0,104
44,0.010271231643855572,nan,0.0,105
45,0.03424777835607529,nan,0.0,107
46,0.014332170598208904,nan,0.0,108
47,0.011184326373040676,nan,0.0,109
48,0.014208853244781494,nan,0.0,110
49,0.016032550483942032,nan,0.0,111
50,0.010154316201806068,nan,0.0,112
51,0.014048676006495953,nan,0.0,113
52,0.010148808360099792,nan,0.0,114
53,0.020004862919449806,nan,0.0,116
54,0.021633751690387726,nan,0.0,118
55,0.016092371195554733,nan,0.0,119
56,0.031254347413778305,nan,0.0,121
57,0.01831558346748352,nan,0.0,124
58,0.010583290830254555,nan,0.0,125
59,0.03498281538486481,nan,0.0,129
60,0.010224368423223495,nan,0.0,130
61,0.0113082155585289,nan,0.0,131
62,0.01842321828007698,nan,0.0,132
63,0.010048513300716877,nan,0.0,133
64,0.03171097859740257,nan,0.0,135
65,0.007509627379477024,nan,0.0,136
66,0.012340277433395386,nan,0.0,137
67,0.014901491813361645,nan,0.0,138
68,0.03538920730352402,nan,0.0,143
69,0.037711285054683685,nan,0.0,147
70,0.011436556465923786,nan,0.0,148
71,0.011152489110827446,nan,0.0,149
72,0.006834612227976322,nan,0.0,150
73,0.006881578825414181,nan,0.0,151
74,0.026513617485761642,nan,0.0,154
75,0.012445786967873573,nan,0.0,155
76,0.03459431603550911,nan,0.0,159
77,0.026329418644309044,nan,0.0,162
78,0.005990373436361551,nan,0.0,163
79,0.014292129315435886,nan,0.0,164
80,0.007887456566095352,nan,0.0,165
81,0.010176262818276882,nan,0.0,166
82,0.012618303298950195,nan,0.0,167
83,0.007569832261651754,nan,0.0,168
84,0.03701988607645035,nan,0.0,172
85,0.010766441933810711,nan,0.0,173
86,0.025291504338383675,nan,0.0,178
87,0.02395203523337841,nan,0.0,180
88,0.01182591076940298,nan,0.0,181
89,0.012521332129836082,nan,0.0,182
90,0.006623584311455488,nan,0.0,183
91,0.011228594928979874,nan,0.0,184
92,0.005512111820280552,nan,0.0,185
93,0.004939683713018894,nan,0.0,186
94,0.027009982615709305,nan,0.0,189
95,0.0274810828268528,nan,0.0,191
96,0.02277512662112713,nan,0.0,194
97,0.006014715880155563,nan,0.0,195
98,0.010042821057140827,nan,0.0,196
99,0.028133990243077278,nan,0.0,199
100,0.030769335106015205,nan,0.0,201
101,0.016408434137701988,nan,0.0,203
102,0.025424042716622353,nan,0.0,206
103,0.008371555246412754,nan,0.0,207
104,0.018203241750597954,nan,0.0,210
105,0.010309388861060143,nan,0.0,211
106,0.004376016091555357,nan,0.0,212
107,0.006881927140057087,nan,0.0,213
108,0.004098458215594292,nan,0.0,214
109,0.01489331852644682,nan,0.0,215
110,0.030739055946469307,nan,0.0,218
111,0.02879972942173481,nan,0.0,222
112,0.005545135587453842,nan,0.0,223
113,0.030687298625707626,nan,0.0,226
114,0.018491650000214577,nan,0.0,228
115,0.03316924348473549,nan,0.0,230
116,0.027496103197336197,nan,0.0,232
117,0.012927412986755371,nan,0.0,233
118,0.022194018587470055,nan,0.0,237
119,0.005582136567682028,nan,0.0,238
120,0.026678236201405525,nan,0.0,241
121,0.0037433169782161713,nan,0.0,242
122,0.022726954892277718,nan,0.0,244
123,0.007394299376755953,nan,0.0,245
124,0.011085668578743935,nan,0.0,246
125,0.018523233011364937,nan,0.0,248
126,0.008359134197235107,nan,0.0,249
127,0.031218012794852257,nan,0.0,251
128,0.010894696228206158,nan,0.0,252
129,0.014650296419858932,nan,0.0,253
130,0.03267446532845497,nan,0.0,257
131,0.025595469400286674,nan,0.0,261
132,0.01048092357814312,nan,0.0,262
133,0.003732306184247136,nan,0.0,263
134,0.027800695970654488,nan,0.0,266
135,0.0035007719416171312,nan,0.0,267
136,0.007337890565395355,nan,0.0,268
137,0.004638295620679855,nan,0.0,269
138,0.006707973312586546,nan,0.0,270
139,0.006790355779230595,nan,0.0,271
140,0.01557781919836998,nan,0.0,273
141,0.006656383629888296,nan,0.0,274
142,0.004092987161129713,nan,0.0,275
143,0.011609585955739021,nan,0.0,276
144,0.026668300852179527,nan,0.0,280
145,0.006364893168210983,nan,0.0,281
146,0.019189003854990005,nan,0.0,283
147,0.008870643563568592,nan,0.0,284
148,0.005752658937126398,nan,0.0,285
149,0.0079276068136096,nan,0.0,286
150,0.027187364175915718,nan,0.0,289
151,0.024939358234405518,nan,0.0,291
152,0.025578366592526436,nan,0.0,293
153,0.028580818325281143,nan,0.0,296
154,0.024833424016833305,nan,0.0,298
155,0.026507077738642693,nan,0.0,300
156,0.011893902905285358,nan,0.0,301
157,0.01375223882496357,nan,0.0,302
158,0.007302154786884785,nan,0.0,303
159,0.010567355901002884,nan,0.0,304
160,0.025079846382141113,nan,0.0,309
161,0.0047180065885186195,nan,0.0,310
162,0.002237799111753702,nan,0.0,311
163,0.027794893831014633,nan,0.0,313
164,0.007543164771050215,nan,0.0,314
165,0.008437571115791798,nan,0.0,315
166,0.009695732034742832,nan,0.0,316
167,0.009034243412315845,nan,0.0,317
