update,policy_loss,value_loss,entropy,steps
0,0.02807413786649704,nan,0.0,3
1,0.013166073709726334,nan,0.0,4
2,0.022796787321567535,nan,0.0,8
3,0.038265690207481384,nan,0.0,13
4,0.01583207957446575,nan,0.0,14
5,0.012972014024853706,nan,0.0,15
6,0.021810654550790787,nan,0.0,19
7,0.03987409546971321,nan,0.0,23
8,0.029253385961055756,nan,0.0,28
9,0.02120937407016754,nan,0.0,31
10,0.025963829830288887,nan,0.0,35
11,0.03474238142371178,nan,0.0,38
12,0.02788109891116619,nan,0.0,41
13,0.012169281020760536,nan,0.0,42
14,0.015680372714996338,nan,0.0,45
15,0.01842573843896389,nan,0.0,46
16,0.03103962354362011,nan,0.0,51
17,0.028078490868210793,nan,0.0,55
18,0.017036834731698036,nan,0.0,56
19,0.015007954090833664,nan,0.0,58
20,0.013557640835642815,nan,0.0,59
21,0.01196132879704237,nan,0.0,60
22,0.013537643477320671,nan,0.0,61
23,0.014395748265087605,nan,0.0,62
24,0.033184703439474106,nan,0.0,64
25,0.03638066351413727,nan,0.0,69
26,0.011774837970733643,nan,0.0,70
27,0.03388499468564987,nan,0.0,72
28,0.04240737482905388,nan,0.0,77
29,0.015169971622526646,nan,0.0,79
30,0.031180385500192642,nan,0.0,83
31,0.01439779531210661,nan,0.0,84
32,0.03485669195652008,nan,0.0,89
33,0.024334492161870003,nan,0.0,94
34,0.010293515399098396,nan,0.0,95
35,0.029846085235476494,nan,0.0,97
36,0.013721602037549019,nan,0.0,98
37,0.038020797073841095,nan,0.0,100
38,0.01409667357802391,nan,0.0,101
39,0.010978743433952332,nan,0.0,102
40,0.032310850918293,nan,0.0,104
41,0.01294670533388853,nan,0.0,105
42,0.012320644222199917,nan,0.0,106
43,0.008038025349378586,nan,0.0,107
44,0.02381465770304203,nan,0.0,110
45,0.009680054150521755,nan,0.0,111
46,0.027500078082084656,nan,0.0,114
47,0.029922572895884514,nan,0.0,116
48,0.01564427651464939,nan,0.0,119
49,0.0349307656288147,nan,0.0,121
50,0.011353201232850552,nan,0.0,122
51,0.032282665371894836,nan,0.0,124
52,0.010487990453839302,nan,0.0,125
53,0.0158507339656353,nan,0.0,126
54,0.011204657144844532,nan,0.0,127
55,0.024317050352692604,nan,0.0,129
56,0.020081643015146255,nan,0.0,133
57,0.006866862531751394,nan,0.0,134
58,0.03463109955191612,nan,0.0,136
59,0.03467831015586853,nan,0.0,141
60,0.00769864721223712,nan,0.0,142
61,0.017738791182637215,nan,0.0,143
62,0.017353970557451248,nan,0.0,144
63,0.008869167417287827,nan,0.0,145
64,0.024303771555423737,nan,0.0,148
65,0.03294878825545311,nan,0.0,151
66,0.02868572250008583,nan,0.0,153
67,0.008482517674565315,nan,0.0,154
68,0.013913632370531559,nan,0.0,156
69,0.015040838159620762,nan,0.0,158
70,0.01949821226298809,nan,0.0,160
71,0.0069099776446819305,nan,0.0,161
72,0.024520348757505417,nan,0.0,164
73,0.007313039619475603,nan,0.0,165
74,0.03271758183836937,nan,0.0,169
75,0.03397197648882866,nan,0.0,172
76,0.01608438976109028,nan,0.0,173
77,0.007270283531397581,nan,0.0,174
78,0.009865072555840015,nan,0.0,175
79,0.025195173919200897,nan,0.0,177
80,0.005472822114825249,nan,0.0,178
81,0.006093521136790514,nan,0.0,179
82,0.03877795487642288,nan,0.0,183
83,0.0175525713711977,nan,0.0,184
84,0.029623841866850853,nan,0.0,186
85,0.0052037788555026054,nan,0.0,187
86,0.015299363061785698,nan,0.0,189
87,0.007989900186657906,nan,0.0,190
88,0.017487814649939537,nan,0.0,191
89,0.005046429578214884,nan,0.0,192
90,0.007100173272192478,nan,0.0,193
91,0.0373498797416687,nan,0.0,196
92,0.016023455187678337,nan,0.0,199
93,0.004454821348190308,nan,0.0,200
94,0.005413479637354612,nan,0.0,201
95,0.0229308120906353,nan,0.0,203
96,0.02916335128247738,nan,0.0,205
97,0.02964036911725998,nan,0.0,208
98,0.01999804750084877,nan,0.0,210
99,0.005822116043418646,nan,0.0,211
100,0.00475685577839613,nan,0.0,212
101,0.016721073538064957,nan,0.0,213
102,0.00411046389490366,nan,0.0,214
103,0.0056239026598632336,nan,0.0,215
104,0.005357499234378338,nan,0.0,216
105,0.005570492707192898,nan,0.0,217
106,0.005455775186419487,nan,0.0,218
107,0.01602724939584732,nan,0.0,219
108,0.004930665250867605,nan,0.0,220
109,0.028569543734192848,nan,0.0,223
110,0.004142192658036947,nan,0.0,224
111,0.0034829783253371716,nan,0.0,225
112,0.004458434414118528,nan,0.0,226
113,0.007079053204506636,nan,0.0,227
114,0.027818620204925537,nan,0.0,229
115,0.0182757917791605,nan,0.0,230
116,0.0056761750020086765,nan,0.0,231
117,0.01967650279402733,nan,0.0,234
118,0.006053030490875244,nan,0.0,235
119,0.004153124988079071,nan,0.0,236
120,0.027525819838047028,nan,0.0,238
121,0.015696583315730095,nan,0.0,239
122,0.0038063263054937124,nan,0.0,240
123,0.008152715861797333,nan,0.0,241
124,0.015506068244576454,nan,0.0,243
125,0.0024972069077193737,nan,0.0,244
126,0.004252655431628227,nan,0.0,245
127,0.022851265966892242,nan,0.0,247
128,0.02172069065272808,nan,0.0,249
129,0.026696011424064636,nan,0.0,252
130,0.0017395114991813898,nan,0.0,253
131,0.0025174308102577925,nan,0.0,254
132,0.01800302416086197,nan,0.0,255
133,0.0023791431449353695,nan,0.0,256
134,0.0031965719535946846,nan,0.0,257
135,0.00222310540266335,nan,0.0,258
136,0.018967701122164726,nan,0.0,260
137,0.003076147986575961,nan,0.0,261
138,0.0016136454651132226,nan,0.0,262
139,0.0032153474166989326,nan,0.0,263
140,0.004857310093939304,nan,0.0,264
141,0.004485274665057659,nan,0.0,265
142,0.0029117618687450886,nan,0.0,266
143,0.005951202008873224,nan,0.0,267
144,0.003096211003139615,nan,0.0,268
145,0.0042871045880019665,nan,0.0,269
146,0.03364008665084839,nan,0.0,271
147,0.0010198378004133701,nan,0.0,272
148,0.04721492901444435,nan,0.0,276
149,0.0015024709282442927,nan,0.0,277
150,0.02620789408683777,nan,0.0,279
151,0.0028548073023557663,nan,0.0,280
152,0.019372906535863876,nan,0.0,281
153,0.0028596639167517424,nan,0.0,282
154,0.0012387704337015748,nan,0.0,283
155,0.002894157078117132,nan,0.0,284
156,0.001848683343268931,nan,0.0,285
157,0.031246718019247055,nan,0.0,287
158,0.015210804529488087,nan,0.0,288
159,0.0014770661946386099,nan,0.0,289
160,0.0020157182589173317,nan,0.0,290
161,0.002386639127507806,nan,0.0,291
162,0.0026799822226166725,nan,0.0,292
163,0.0018609821563586593,nan,0.0,293
164,0.0019158291397616267,nan,0.0,294
165,0.0023035441990941763,nan,0.0,295
166,0.018460771068930626,nan,0.0,297
167,0.002515702275559306,nan,0.0,298
168,0.0024249302223324776,nan,0.0,299
169,0.0030234241858124733,nan,0.0,300
170,0.002200813265517354,nan,0.0,301
171,0.0033725344110280275,nan,0.0,302
172,0.0009592127753421664,nan,0.0,303
173,0.020626671612262726,nan,0.0,305
174,0.019773287698626518,nan,0.0,306
175,0.002567061223089695,nan,0.0,307
176,0.0004841232148464769,nan,0.0,308
177,0.0035220610443502665,nan,0.0,309
178,0.0036910080816596746,nan,0.0,310
179,0.0038964366540312767,nan,0.0,311
180,0.0030900263227522373,nan,0.0,312
181,0.0017315697623416781,nan,0.0,313
182,0.0028416167479008436,nan,0.0,314
183,0.0016447067027911544,nan,0.0,315
184,0.0008846735581755638,nan,0.0,316
185,0.0020326757803559303,nan,0.0,317
186,0.0012810539919883013,nan,0.0,318
187,0.0005386089906096458,nan,0.0,319
188,0.0013888251269236207,nan,0.0,320
189,0.0015190792037174106,nan,0.0,321
190,0.0010143994586542249,nan,0.0,322
191,0.0032615421805530787,nan,0.0,323
192,0.0016969692660495639,nan,0.0,324
193,0.0011163949966430664,nan,0.0,325
194,0.0010907649993896484,nan,0.0,326
195,0.001271648332476616,nan,0.0,327
196,0.0005136752151884139,nan,0.0,328
197,0.0009952473919838667,nan,0.0,329
198,0.0018157600425183773,nan,0.0,330
199,0.0010214900830760598,nan,0.0,331
200,0.0013967013219371438,nan,0.0,332
201,0.000192468156456016,nan,0.0,333
202,0.0025056577287614346,nan,0.0,334
203,0.0019939637277275324,nan,0.0,335
204,0.0002882790577132255,nan,0.0,336
205,0.0023713945411145687,nan,0.0,337
206,0.0009832334471866488,nan,0.0,338
207,0.00040042639011517167,nan,0.0,339
208,0.0003340983239468187,nan,0.0,340
209,0.0007007980020716786,nan,0.0,341
210,0.017154810950160027,nan,0.0,342
211,0.0005536317476071417,nan,0.0,343
212,0.0015341972466558218,nan,0.0,344
213,0.00033742666710168123,nan,0.0,345
214,0.0006123590283095837,nan,0.0,346
215,0.0019110273569822311,nan,0.0,347
216,0.00028185604605823755,nan,0.0,348
217,0.0004589104501064867,nan,0.0,349
218,0.002148134633898735,nan,0.0,350
219,0.002075421856716275,nan,0.0,351
220,0.0009005975443869829,nan,0.0,352
221,0.0009452509693801403,nan,0.0,353
222,0.02673446200788021,nan,0.0,355
223,0.0007238006219267845,nan,0.0,356
224,0.02761664055287838,nan,0.0,358
225,0.0016345381736755371,nan,0.0,359
226,0.0005459570675157011,nan,0.0,360
227,0.00032564401044510305,nan,0.0,361
228,0.0005152869271114469,nan,0.0,362
229,0.0003094482235610485,nan,0.0,363
230,0.0014428615104407072,nan,0.0,364
231,0.001437654485926032,nan,0.0,365
232,0.0007487773546017706,nan,0.0,366
233,0.0019129728898406029,nan,0.0,367
234,0.00101851939689368,nan,0.0,368
235,0.0015519714215770364,nan,0.0,369
236,0.0019408559892326593,nan,0.0,370
237,0.0003858208656311035,nan,0.0,371
238,0.0009360337280668318,nan,0.0,372
239,0.00014939546235837042,nan,0.0,373
240,0.0014088725438341498,nan,0.0,374
241,0.00037869453080929816,nan,0.0,375
242,0.00042000532266683877,nan,0.0,376
243,0.0005692982813343406,nan,0.0,377
244,0.00010943889355985448,nan,0.0,378
245,8.997917029773816e-05,nan,0.0,379
246,0.0014503466663882136,nan,0.0,380
247,0.0004051041614729911,nan,0.0,381
248,0.045234713703393936,nan,0.0,383
249,0.000671522575430572,nan,0.0,384
250,0.0011747454991564155,nan,0.0,385
251,0.00148383853957057,nan,0.0,386
252,0.00021715402544941753,nan,0.0,387
253,0.0022287892643362284,nan,0.0,388
254,0.0008480310207232833,nan,0.0,389
255,0.00012767076259478927,nan,0.0,390
256,7.270336209330708e-05,nan,0.0,391
257,0.000891215808223933,nan,0.0,392
258,0.00027432202477939427,nan,0.0,393
259,3.851413566735573e-05,nan,0.0,394
260,0.0001269006752409041,nan,0.0,395
261,0.0001918554335134104,nan,0.0,396
262,0.0002911853662226349,nan,0.0,397
263,0.00024024008598644286,nan,0.0,398
264,0.0006198143819347024,nan,0.0,399
265,0.0004073667514603585,nan,0.0,400
266,0.0001405072252964601,nan,0.0,401
267,0.002648096065968275,nan,0.0,402
268,0.001014599809423089,nan,0.0,403
269,0.0004444241349119693,nan,0.0,404
270,0.0005184435867704451,nan,0.0,405
271,4.521369919530116e-05,nan,0.0,406
272,0.026675593107938766,nan,0.0,408
273,0.00016762256564106792,nan,0.0,409
274,0.0005898665986023843,nan,0.0,410
275,0.0001122236208175309,nan,0.0,411
276,0.001532864524051547,nan,0.0,412
277,0.0002805209078360349,nan,0.0,413
278,0.00035842417855747044,nan,0.0,414
279,0.0006219386705197394,nan,0.0,415
280,0.0010101055959239602,nan,0.0,416
281,0.0005523681757040322,nan,0.0,417
282,0.00018633365107234567,nan,0.0,418
283,0.00022183418332133442,nan,0.0,419
284,0.0005635738489218056,nan,0.0,420
285,0.000261683453572914,nan,0.0,421
286,0.00010363339970353991,nan,0.0,422
287,0.02477053366601467,nan,0.0,424
288,0.00028695582295767963,nan,0.0,425
289,6.099223901401274e-05,nan,0.0,426
290,0.0008372759912163019,nan,0.0,427
291,0.00012032032100250944,nan,0.0,428
292,0.0003168845141772181,nan,0.0,429
293,0.0009376168018206954,nan,0.0,430
294,0.00016520261124242097,nan,0.0,431
295,0.00024113654217217118,nan,0.0,432
296,0.00011813163291662931,nan,0.0,433
297,6.888866482768208e-05,nan,0.0,434
298,0.00047676562098786235,nan,0.0,435
299,0.0002322769141755998,nan,0.0,436
300,0.024591675028204918,nan,0.0,438
301,0.0001895880704978481,nan,0.0,439
302,0.023088807240128517,nan,0.0,440
303,0.0007540273363701999,nan,0.0,441
