step,episode,return,loss
2,1,0.0,0.013385972939431667
7,2,6.0,0.028497224673628807
9,3,6.0,0.033095307648181915
12,4,0.0,0.03947097063064575
17,5,0.0,0.026093561202287674
19,6,9.0,0.024210358038544655
20,7,0.0,0.011314423754811287
25,8,0.0,0.02455110102891922
30,9,0.0,0.0488816536962986
35,10,8.0,0.033985160291194916
40,11,0.0,0.029400913044810295
42,12,0.0,0.01267337054014206
43,13,10.0,0.022643348202109337
44,14,0.0,0.015936553478240967
45,15,0.0,0.009055277332663536
46,16,0.0,0.009778047911822796
47,17,0.0,0.011013197712600231
48,18,16.0,0.02311423420906067
50,19,0.0,0.012205670587718487
54,20,0.0,0.031058136373758316
57,21,0.0,0.02195146307349205
60,22,0.0,0.027444621548056602
64,23,0.0,0.03113076463341713
66,24,0.0,0.014390930533409119
68,25,14.0,0.01590292900800705
73,26,0.0,0.02881816029548645
77,27,0.0,0.029432931914925575
78,28,0.0,0.009821348823606968
79,29,0.0,0.013324737548828125
80,30,0.0,0.01092035137116909
82,31,6.0,0.03661613166332245
85,32,0.0,0.0281898882240057
86,33,0.0,0.00951503124088049
88,34,0.0,0.028211407363414764
90,35,0.0,0.012360417284071445
91,36,0.0,0.011089039035141468
93,37,0.0,0.013632237911224365
94,38,0.0,0.008637036196887493
95,39,0.0,0.012252905406057835
97,40,7.0,0.023367125540971756
102,41,0.0,0.048930779099464417
104,42,0.0,0.035688839852809906
105,43,14.0,0.02337930165231228
106,44,0.0,0.010892698541283607
107,45,2.0,0.02167923003435135
108,46,0.0,0.0132605517283082
113,47,0.0,0.036378081887960434
115,48,16.0,0.017534755170345306
116,49,0.0,0.012278307229280472
118,50,0.0,0.012003741227090359
119,51,8.0,0.02123085781931877
120,52,0.0,0.012033247388899326
122,53,0.0,0.027790896594524384
123,54,0.0,0.013391266576945782
124,55,0.0,0.011395554058253765
125,56,0.0,0.010976157151162624
126,57,0.0,0.012338302098214626
128,58,0.0,0.038187962025403976
133,59,0.0,0.029752662405371666
134,60,0.0,0.010869530029594898
136,61,0.0,0.018776463344693184
137,62,0.0,0.010094516910612583
142,63,0.0,0.01885097473859787
143,64,0.0,0.010458428412675858
145,65,0.0,0.013239873573184013
146,66,0.0,0.008657420985400677
147,67,2.0,0.021213846281170845
151,68,0.0,0.027808601036667824
156,69,0.0,0.035704851150512695
157,70,0.0,0.008871988393366337
162,71,0.0,0.026035325601696968
163,72,0.0,0.00950478296726942
164,73,0.0,0.011875702068209648
165,74,0.0,0.011312775313854218
166,75,0.0,0.009035289287567139
167,76,0.0,0.010855459608137608
170,77,0.0,0.02481071650981903
174,78,0.0,0.028700241819024086
175,79,0.0,0.010090232826769352
177,80,12.0,0.03306077793240547
179,81,0.0,0.01176674384623766
180,82,0.0,0.008906945586204529
181,83,0.0,0.0071895490400493145
184,84,0.0,0.033292438834905624
189,85,0.0,0.021030379459261894
190,86,0.0,0.009920166805386543
191,87,0.0,0.007462286856025457
192,88,0.0,0.006940629333257675
193,89,0.0,0.008585031144320965
196,90,0.0,0.0371357798576355
198,91,0.0,0.024666311219334602
199,92,0.0,0.010926647111773491
200,93,0.0,0.009169303812086582
201,94,0.0,0.0081627843901515
206,95,0.0,0.03642222657799721
211,96,16.0,0.038226108998060226
212,97,0.0,0.007880676537752151
214,98,0.0,0.011477615684270859
215,99,0.0,0.005415614694356918
217,100,0.0,0.027986573055386543
218,101,0.0,0.008538727648556232
220,102,0.0,0.011454869993031025
221,103,0.0,0.00741397961974144
223,104,0.0,0.020610973238945007
224,105,0.0,0.006318496540188789
226,106,0.0,0.011375943198800087
229,107,0.0,0.014763787388801575
231,108,0.0,0.01357849407941103
232,109,0.0,0.007758700754493475
234,110,0.0,0.013204052112996578
239,111,0.0,0.024561217054724693
240,112,15.0,0.02464769221842289
242,113,0.0,0.01129759568721056
243,114,0.0,0.008220206946134567
244,115,0.0,0.008411872200667858
245,116,0.0,0.00849505327641964
247,117,12.0,0.017887212336063385
249,118,0.0,0.011133076623082161
250,119,0.0,0.009837605059146881
251,120,0.0,0.00868675671517849
252,121,0.0,0.008072889409959316
254,122,2.0,0.018879450857639313
258,123,0.0,0.017338348552584648
259,124,0.0,0.005198095925152302
263,125,0.0,0.03054940328001976
264,126,0.0,0.005581456236541271
265,127,0.0,0.006705472245812416
267,128,0.0,0.03137160837650299
269,129,0.0,0.025750838220119476
271,130,0.0,0.011808274313807487
275,131,0.0,0.02928938716650009
276,132,0.0,0.0076334974728524685
277,133,0.0,0.007059445604681969
278,134,0.0,0.008677906356751919
280,135,0.0,0.028283854946494102
281,136,0.0,0.00738950539380312
282,137,0.0,0.01108319777995348
283,138,0.0,0.004128271248191595
285,139,0.0,0.01224264595657587
287,140,0.0,0.011198565363883972
289,141,0.0,0.02288699336349964
290,142,0.0,0.006397062446922064
292,143,0.0,0.025878774002194405
293,144,0.0,0.0057616219855844975
295,145,0.0,0.01210468728095293
297,146,0.0,0.012125330045819283
298,147,0.0,0.003696744330227375
299,148,0.0,0.006040670908987522
300,149,0.0,0.006839925888925791
302,150,0.0,0.023581523448228836
303,151,0.0,0.008438468910753727
304,152,0.0,0.005154867190867662
305,153,0.0,0.005487010348588228
306,154,0.0,0.005754365585744381
308,155,0.0,0.012406209483742714
309,156,0.0,0.0033787309657782316
313,157,0.0,0.013128578662872314
314,158,0.0,0.008692937903106213
317,159,0.0,0.02075308747589588
318,160,0.0,0.004885506350547075
319,161,10.0,0.006263906601816416
320,162,0.0,0.005346975289285183
321,163,0.0,0.005566272418946028
322,164,0.0,0.005066473502665758
323,165,0.0,0.004592785611748695
324,166,0.0,0.003797454759478569
325,167,0.0,0.0041953884065151215
326,168,0.0,0.004694572649896145
327,169,0.0,0.005137212108820677
329,170,0.0,0.019435813650488853
330,171,0.0,0.006190740969032049
331,172,0.0,0.0068390886299312115
334,173,0.0,0.013827313669025898
335,174,0.0,0.003867401974275708
338,175,0.0,0.04095681011676788
339,176,0.0,0.0026716457214206457
340,177,0.0,0.003464183770120144
343,178,0.0,0.021030673757195473
344,179,0.0,0.004638787358999252
345,180,0.0,0.00461602071300149
349,181,14.0,0.021743562072515488
350,182,0.0,0.003479008562862873
352,183,0.0,0.024820169433951378
353,184,0.0,0.004000276327133179
354,185,0.0,0.0032403336372226477
355,186,0.0,0.004586442373692989
356,187,0.0,0.005117835942655802
357,188,0.0,0.008513798005878925
358,189,15.0,0.03026864491403103
359,190,0.0,0.005677413661032915
360,191,0.0,0.003329148283228278
365,192,0.0,0.020403599366545677
366,193,0.0,0.006259107030928135
367,194,0.0,0.0068648820742964745
368,195,0.0,0.0026691912207752466
369,196,0.0,0.0037079083267599344
370,197,0.0,0.0036641107872128487
371,198,0.0,0.004458276089280844
373,199,0.0,0.03331971913576126
375,200,3.0,0.03313928097486496
376,201,0.0,0.004271524026989937
377,202,0.0,0.00156028987839818
378,203,0.0,0.0035080050583928823
380,204,0.0,0.012276344001293182
381,205,0.0,0.002214207546785474
382,206,0.0,0.005084301345050335
383,207,0.0,0.006402263417840004
384,208,0.0,0.001449103350751102
386,209,0.0,0.026934847235679626
387,210,0.0,0.0038809406105428934
388,211,0.0,0.0032491646707057953
389,212,0.0,0.003973971586674452
390,213,0.0,0.0019332336960360408
391,214,0.0,0.002471692394465208
392,215,0.0,0.002935446333140135
393,216,0.0,0.0026425421237945557
394,217,0.0,0.0015853643417358398
395,218,0.0,0.0021509910002350807
396,219,0.0,0.004111818037927151
397,220,0.0,0.0026094531640410423
399,221,0.0,0.013479949906468391
400,222,0.0,0.0064186942763626575
401,223,0.0,0.003037084359675646
402,224,0.0,0.0019132160814478993
403,225,0.0,0.0019121980294585228
404,226,0.0,0.00235008355230093
405,227,0.0,0.0023282824549824
406,228,0.0,0.004520067945122719
408,229,0.0,0.015010179951786995
409,230,0.0,0.002180787269026041
410,231,3.0,0.02808595634996891
411,232,0.0,0.0037495563738048077
413,233,0.0,0.029366442933678627
414,234,0.0,0.0030036019161343575
416,235,0.0,0.03755483031272888
420,236,0.0,0.02794952504336834
421,237,0.0,0.0027187918312847614
423,238,0.0,0.013364283367991447
424,239,0.0,0.0027450667694211006
425,240,0.0,0.0018866037717089057
426,241,0.0,0.0022528122644871473
429,242,0.0,0.027115557342767715
430,243,0.0,0.0024826787412166595
431,244,0.0,0.0024439585395157337
432,245,0.0,0.003512849798426032
433,246,0.0,0.0034133170265704393
434,247,0.0,0.002775220898911357
435,248,0.0,0.002533434657379985
436,249,0.0,0.0038763880729675293
438,250,0.0,0.013240295462310314
439,251,0.0,0.0016208887100219727
440,252,0.0,0.0025670051109045744
441,253,0.0,0.0029622840229421854
442,254,0.0,0.0016929912380874157
443,255,0.0,0.0050464533269405365
444,256,0.0,0.003040534211322665
445,257,0.0,0.001801378675736487
446,258,0.0,0.004645217675715685
447,259,0.0,0.0022452997509390116
448,260,0.0,0.004086545668542385
449,261,0.0,0.0015400886768475175
450,262,0.0,0.0019278096733614802
451,263,0.0,0.0015836786478757858
452,264,0.0,0.003583915065973997
453,265,0.0,0.0036392437759786844
454,266,0.0,0.002405216684564948
455,267,0.0,0.0019616936333477497
456,268,0.0,0.0013379311421886086
457,269,0.0,0.001835846807807684
458,270,0.0,0.0035745035856962204
460,271,0.0,0.015368811786174774
461,272,0.0,0.002418223535642028
462,273,0.0,0.0012785171857103705
463,274,0.0,0.0025691569317132235
468,275,13.0,0.03639255091547966
469,276,0.0,0.0021969531662762165
470,277,12.0,0.0016403389163315296
471,278,0.0,0.002342679537832737
472,279,0.0,0.0035289989318698645
473,280,0.0,0.0016306090401485562
476,281,4.0,0.015707993879914284
477,282,0.0,0.0012373661156743765
478,283,0.0,0.0011579369893297553
480,284,0.0,0.023046864196658134
481,285,0.0,0.0013728499179705977
482,286,0.0,0.0033123409375548363
485,287,0.0,0.03482900932431221
486,288,0.0,0.002805690746754408
487,289,0.0,0.001209986163303256
488,290,0.0,0.0019327211193740368
489,291,0.0,0.003229855326935649
490,292,0.0,0.00183307402767241
491,293,0.0,0.0031710576731711626
492,294,0.0,0.002236192114651203
493,295,0.0,0.0019661092665046453
495,296,0.0,0.030487651005387306
496,297,0.0,0.001085336203686893
497,298,0.0,0.0016904639778658748
498,299,0.0,0.0021590518299490213
499,300,0.0,0.002261643297970295
504,301,7.0,0.04791324585676193
505,302,0.0,0.0028732786886394024
506,303,0.0,0.0009388065082021058
507,304,0.0,0.0011351251741871238
508,305,0.0,0.0013956784969195724
509,306,0.0,0.0009956812718883157
511,307,0.0,0.015297831036150455
512,308,0.0,0.0012712335446849465
513,309,0.0,0.0010045957751572132
514,310,0.0,0.00201274617575109
515,311,0.0,0.0011415552580729127
516,312,0.0,0.0031150339636951685
518,313,0.0,0.02346746437251568
519,314,0.0,0.0011130928760394454
520,315,6.0,0.0020198081620037556
521,316,0.0,0.0021410202607512474
522,317,0.0,0.001385979587212205
523,318,0.0,0.0011327886022627354
524,319,0.0,0.0005689096287824214
525,320,0.0,0.002684971084818244
526,321,0.0,0.003368885489180684
527,322,0.0,0.0017888426082208753
531,323,0.0,0.02864426001906395
532,324,0.0,0.0009487342904321849
533,325,0.0,0.0034046994987875223
534,326,0.0,0.0010724520543590188
535,327,0.0,0.0010909033007919788
537,328,0.0,0.015217532403767109
541,329,0.0,0.04472598433494568
543,330,0.0,0.0255842637270689
544,331,0.0,0.0011723446659743786
545,332,0.0,0.000677623727824539
546,333,0.0,0.0019381021847948432
547,334,0.0,0.0009534835699014366
548,335,0.0,0.0016471242997795343
549,336,0.0,0.003194238990545273
550,337,0.0,0.0023092746268957853
551,338,0.0,0.0028281877748668194
553,339,0.0,0.017328154295682907
554,340,0.0,0.0008103537256829441
555,341,0.0,0.0012189769186079502
556,342,0.0,0.001354813575744629
557,343,0.0,0.0019667576998472214
558,344,0.0,0.001329069142229855
560,345,0.0,0.03370555862784386
561,346,0.0,0.0024544524494558573
562,347,0.0,0.0007393860723823309
563,348,4.0,0.001419146079570055
564,349,19.0,0.000597755890339613
565,350,0.0,0.0015746330609545112
566,351,0.0,0.0012410759227350354
568,352,19.0,0.017736755311489105
569,353,0.0,0.0019088744884356856
570,354,0.0,0.0009131479309871793
571,355,0.0,0.0008781957440078259
572,356,0.0,0.001068093697540462
573,357,0.0,0.0010301113361492753
574,358,0.0,0.0010985207045450807
575,359,16.0,0.001051437808200717
576,360,0.0,0.0014324784278869629
577,361,0.0,0.0009419751004315913
578,362,0.0,0.0010139846708625555
579,363,15.0,0.0011439728550612926
580,364,0.0,0.0022227573208510876
581,365,0.0,0.0010587453143671155
582,366,10.0,0.0011369251878932118
584,367,11.0,0.01503661461174488
585,368,9.0,0.0020148945041000843
586,369,26.0,0.0004984712577424943
587,370,0.0,0.0006619167397730052
588,371,0.0,0.0011949919862672687
589,372,0.0,0.0015283918473869562
590,373,12.0,0.0015101503813639283
591,374,0.0,0.0006966352229937911
592,375,7.0,0.0021821188274770975
593,376,0.0,0.0014488433953374624
594,377,0.0,0.0012323904084041715
595,378,22.0,0.0005578374839387834
596,379,0.0,0.00035991668119095266
597,380,2.0,0.0014914822531864047
598,381,14.0,0.0013471245765686035
599,382,25.0,0.0004399323370307684
600,383,0.0,0.001599388080649078
601,384,0.0,0.0017685365164652467
602,385,0.0,0.0035677789710462093
603,386,19.0,0.0009679794311523438
604,387,0.0,0.0008544874144718051
606,388,0.0,0.037177179008722305
607,389,0.0,0.0006901359301991761
608,390,0.0,0.0008102893480099738
609,391,0.0,0.001115748891606927
610,392,0.0,0.0010694193188101053
611,393,0.0,0.0018026756588369608
612,394,0.0,0.0010630297474563122
613,395,0.0,0.0017744922079145908
614,396,0.0,0.0016492009162902832
615,397,0.0,0.0006511544925160706
617,398,0.0,0.037058088928461075
618,399,0.0,0.001530582900159061
619,400,15.0,0.0007910585263743997
620,401,0.0,0.0007695960812270641
621,402,0.0,0.0013060044730082154
622,403,0.0,0.001553690410219133
623,404,0.0,0.0018584346398711205
624,405,0.0,0.0022600090596824884
625,406,0.0,0.0012921857414767146
626,407,1.0,0.0012581419432535768
627,408,0.0,0.001178846345283091
628,409,0.0,0.0012110781390219927
629,410,0.0,0.001252999296411872
631,411,0.0,0.03596269711852074
632,412,0.0,0.001509547233581543
633,413,0.0,0.0013303804444149137
634,414,0.0,0.0008957958198152483
635,415,0.0,0.0028912066482007504
636,416,0.0,0.0008596563129685819
637,417,0.0,0.0014548634644597769
638,418,0.0,0.001534016104415059
639,419,0.0,0.00043149470002390444
640,420,0.0,0.0013106989208608866
642,421,0.0,0.014857110567390919
644,422,0.0,0.027338456362485886
645,423,0.0,0.000783708062954247
646,424,0.0,0.002025353955104947
647,425,0.0,0.0008220934541895986
648,426,0.0,0.0012283300748094916
649,427,0.0,0.0016945850802585483
651,428,0.0,0.012925667688250542
652,429,0.0,0.0011050296016037464
653,430,0.0,0.0013181185349822044
654,431,0.0,0.0009198999032378197
