update,policy_loss,value_loss,entropy,steps
0,0.013385972939431667,nan,0.0,2
1,0.028497224673628807,nan,0.0,7
2,0.033095307648181915,nan,0.0,9
3,0.03947097063064575,nan,0.0,12
4,0.026093561202287674,nan,0.0,17
5,0.024210358038544655,nan,0.0,19
6,0.011314423754811287,nan,0.0,20
7,0.02455110102891922,nan,0.0,25
8,0.0488816536962986,nan,0.0,30
9,0.033985160291194916,nan,0.0,35
10,0.029400913044810295,nan,0.0,40
11,0.01267337054014206,nan,0.0,42
12,0.022643348202109337,nan,0.0,43
13,0.015936553478240967,nan,0.0,44
14,0.009055277332663536,nan,0.0,45
15,0.009778047911822796,nan,0.0,46
16,0.011013197712600231,nan,0.0,47
17,0.02311423420906067,nan,0.0,48
18,0.012205670587718487,nan,0.0,50
19,0.031058136373758316,nan,0.0,54
20,0.02195146307349205,nan,0.0,57
21,0.027444621548056602,nan,0.0,60
22,0.03113076463341713,nan,0.0,64
23,0.014390930533409119,nan,0.0,66
24,0.01590292900800705,nan,0.0,68
25,0.02881816029548645,nan,0.0,73
26,0.029432931914925575,nan,0.0,77
27,0.009821348823606968,nan,0.0,78
28,0.013324737548828125,nan,0.0,79
29,0.01092035137116909,nan,0.0,80
30,0.03661613166332245,nan,0.0,82
31,0.0281898882240057,nan,0.0,85
32,0.00951503124088049,nan,0.0,86
33,0.028211407363414764,nan,0.0,88
34,0.012360417284071445,nan,0.0,90
35,0.011089039035141468,nan,0.0,91
36,0.013632237911224365,nan,0.0,93
37,0.008637036196887493,nan,0.0,94
38,0.012252905406057835,nan,0.0,95
39,0.023367125540971756,nan,0.0,97
40,0.048930779099464417,nan,0.0,102
41,0.035688839852809906,nan,0.0,104
42,0.02337930165231228,nan,0.0,105
43,0.010892698541283607,nan,0.0,106
44,0.02167923003435135,nan,0.0,107
45,0.0132605517283082,nan,0.0,108
46,0.036378081887960434,nan,0.0,113
47,0.017534755170345306,nan,0.0,115
48,0.012278307229280472,nan,0.0,116
49,0.012003741227090359,nan,0.0,118
50,0.02123085781931877,nan,0.0,119
51,0.012033247388899326,nan,0.0,120
52,0.027790896594524384,nan,0.0,122
53,0.013391266576945782,nan,0.0,123
54,0.011395554058253765,nan,0.0,124
55,0.010976157151162624,nan,0.0,125
56,0.012338302098214626,nan,0.0,126
57,0.038187962025403976,nan,0.0,128
58,0.029752662405371666,nan,0.0,133
59,0.010869530029594898,nan,0.0,134
60,0.018776463344693184,nan,0.0,136
61,0.010094516910612583,nan,0.0,137
62,0.01885097473859787,nan,0.0,142
63,0.010458428412675858,nan,0.0,143
64,0.013239873573184013,nan,0.0,145
65,0.008657420985400677,nan,0.0,146
66,0.021213846281170845,nan,0.0,147
67,0.027808601036667824,nan,0.0,151
68,0.035704851150512695,nan,0.0,156
69,0.008871988393366337,nan,0.0,157
70,0.026035325601696968,nan,0.0,162
71,0.00950478296726942,nan,0.0,163
72,0.011875702068209648,nan,0.0,164
73,0.011312775313854218,nan,0.0,165
74,0.009035289287567139,nan,0.0,166
75,0.010855459608137608,nan,0.0,167
76,0.02481071650981903,nan,0.0,170
77,0.028700241819024086,nan,0.0,174
78,0.010090232826769352,nan,0.0,175
79,0.03306077793240547,nan,0.0,177
80,0.01176674384623766,nan,0.0,179
81,0.008906945586204529,nan,0.0,180
82,0.0071895490400493145,nan,0.0,181
83,0.033292438834905624,nan,0.0,184
84,0.021030379459261894,nan,0.0,189
85,0.009920166805386543,nan,0.0,190
86,0.007462286856025457,nan,0.0,191
87,0.006940629333257675,nan,0.0,192
88,0.008585031144320965,nan,0.0,193
89,0.0371357798576355,nan,0.0,196
90,0.024666311219334602,nan,0.0,198
91,0.010926647111773491,nan,0.0,199
92,0.009169303812086582,nan,0.0,200
93,0.0081627843901515,nan,0.0,201
94,0.03642222657799721,nan,0.0,206
95,0.038226108998060226,nan,0.0,211
96,0.007880676537752151,nan,0.0,212
97,0.011477615684270859,nan,0.0,214
98,0.005415614694356918,nan,0.0,215
99,0.027986573055386543,nan,0.0,217
100,0.008538727648556232,nan,0.0,218
101,0.011454869993031025,nan,0.0,220
102,0.00741397961974144,nan,0.0,221
103,0.020610973238945007,nan,0.0,223
104,0.006318496540188789,nan,0.0,224
105,0.011375943198800087,nan,0.0,226
106,0.014763787388801575,nan,0.0,229
107,0.01357849407941103,nan,0.0,231
108,0.007758700754493475,nan,0.0,232
109,0.013204052112996578,nan,0.0,234
110,0.024561217054724693,nan,0.0,239
111,0.02464769221842289,nan,0.0,240
112,0.01129759568721056,nan,0.0,242
