update,policy_loss,value_loss,entropy,steps
0,-0.07579107582569122,10.287267684936523,2.2271628379821777,128
1,0.16235674917697906,0.46691378951072693,2.3756792545318604,256
2,0.008678954094648361,5.973267555236816,2.126246929168701,384
3,-0.04690338298678398,11.552411079406738,2.114501953125,512
4,0.07270778715610504,8.818208694458008,2.4327378273010254,640
5,0.10283646732568741,9.104544639587402,2.1129281520843506,768
6,0.007058762013912201,5.358088970184326,2.5595743656158447,896
7,-0.13320837914943695,11.141047477722168,2.592848062515259,1024
8,-0.1755358874797821,22.961153030395508,2.4612627029418945,1152
9,0.004625208675861359,7.973905086517334,2.1307101249694824,1280
10,-0.021752502769231796,11.486336708068848,2.072861909866333,1408
11,0.06079476699233055,6.844172477722168,2.1642770767211914,1536
12,-0.058727145195007324,12.741780281066895,2.0236053466796875,1664
13,-0.09760510176420212,18.949493408203125,1.9756839275360107,1792
14,0.008488461375236511,12.26242446899414,2.1269071102142334,1920
15,0.08285032212734222,8.78546142578125,2.325181484222412,2048
16,-0.06227364391088486,19.473670959472656,1.8816730976104736,2176
17,0.04753642529249191,18.531280517578125,2.0159852504730225,2304
18,-0.06773567199707031,16.44595718383789,2.0056443214416504,2432
19,0.04665770381689072,16.050518035888672,2.037658929824829,2560
20,-0.019261348992586136,16.74396324157715,1.834825873374939,2688
21,-0.15234987437725067,32.54779815673828,1.8134938478469849,2816
22,-0.02098054438829422,19.93316650390625,1.8757023811340332,2944
