episode,return,rolling_mean_reward
111,5.0,7.4155999999999995
112,0.0,7.255599999999999
113,-0.01,7.2559000000000005
114,-0.01,7.1158
115,-0.08,7.1151
116,19.0,7.3053
117,10.97,7.255
118,4.0,7.2954
119,11.0,7.2954
120,11.99,7.4155
121,23.98,7.6556
122,10.0,7.7559000000000005
123,20.99,7.8658
124,18.0,8.0458
125,24.0,8.2258
126,-0.03,8.1555
127,11.0,8.1057
128,-0.05,8.0052
129,-0.08,7.814399999999999
130,15.0,7.8344
131,-0.04,7.6941
132,21.0,7.8542
133,11.0,7.964600000000001
134,23.0,8.195
135,5.99,8.0949
136,6.99,8.1652
137,0.0,8.1655
138,-0.04,8.0251
139,-0.03,8.014800000000001
140,16.0,8.0248
141,-0.03,7.8245000000000005
142,14.0,7.9645
143,-0.04,7.964700000000001
144,6.0,8.0249
145,5.0,7.9749
146,2.0,7.8749
147,-0.01,7.7349
148,15.0,7.6949000000000005
149,-0.060000000000000005,7.6951
150,7.0,7.6350999999999996
151,11.0,7.6751
152,14.96,7.6348
153,-0.04,7.5445
154,-0.060000000000000005,7.5139
155,-0.01,7.5141
156,11.99,7.6342
157,20.0,7.8343
158,-0.01,7.7942
159,13.0,7.8844
160,-0.04,7.8843
161,13.0,7.8645000000000005
162,7.99,7.7644
163,10.0,7.8647
164,13.0,7.995
165,-0.060000000000000005,7.8344000000000005
166,0.0,7.644500000000001
167,-0.02,7.5843
168,24.98,7.8345
169,8.0,7.734500000000001
170,-0.09,7.7337
171,11.0,7.8237
172,23.99,8.064
173,-0.03,8.0643
174,26.0,8.1544
175,-0.04,8.1545
176,-0.02,8.0545
177,12.0,8.1748
178,13.0,8.3051
179,7.0,8.3151
180,-0.04,8.2447
181,-0.02,8.0845
182,15.0,8.0645
183,-0.01,8.0044
184,-0.04,7.824299999999999
185,15.0,7.974500000000001
186,9.94,8.0744
187,16.95,8.0739
188,5.0,8.1243
189,-0.03,8.124
190,10.0,8.224
191,-0.04,8.1536
192,2.99,8.0335
193,-0.02,7.9036
194,-0.04,7.693200000000001
195,5.0,7.7435
196,15.0,7.7535
197,16.99,7.763400000000001
198,-0.05,7.6829
199,14.99,7.832999999999999
200,15.0,7.9834000000000005
201,-0.03,7.9837
202,17.0,7.9837
203,11.0,8.0937
204,-0.02,7.9839
205,20.97,8.0736
206,11.0,7.9836
207,13.0,7.9636000000000005
208,11.0,8.0738
209,14.0,8.0438
210,11.0,8.0838
211,-0.03,8.0335
212,20.0,8.2335
213,16.0,8.3936
214,14.99,8.5436
215,13.0,8.674399999999999
216,17.0,8.654399999999999
217,-0.060000000000000005,8.5441
218,10.0,8.604099999999999
219,-0.04,8.4937
220,17.0,8.5438
221,3.0,8.334
222,-0.04,8.233600000000001
223,-0.05,8.023200000000001
224,8.99,7.9331
225,17.0,7.863099999999999
226,-0.060000000000000005,7.8628
227,-0.060000000000000005,7.7522
228,9.97,7.8524
229,24.0,8.093200000000001
230,-0.08,7.9424
231,-0.03,7.9425
232,-0.08,7.7317
233,9.0,7.7116999999999996
234,11.0,7.5916999999999994
235,15.95,7.6913
236,12.0,7.7414
237,8.99,7.8313
238,6.99,7.901599999999999
239,10.98,8.0117
240,-0.07,7.851
241,13.0,7.9813
242,11.0,7.9513
243,12.0,8.0717
244,4.0,8.0517
245,2.0,8.0217
246,14.0,8.1417
247,-0.01,8.1417
248,6.0,8.0517
249,6.0,8.1123
250,11.97,8.162
251,2.0,8.072000000000001
252,-0.04,7.922000000000001
253,6.97,7.992100000000001
254,19.0,8.1827
255,16.0,8.3428
256,-0.03,8.2226
257,-0.02,8.0224
258,14.98,8.1723
259,16.0,8.202300000000001
260,4.0,8.2427
261,-0.04,8.1123
262,-0.060000000000000005,8.031799999999999
263,-0.03,7.9315
264,-0.02,7.8013
265,9.0,7.8919
266,19.0,8.0819
267,7.0,8.1521
268,18.0,8.0823
269,5.0,8.0523
270,18.0,8.2332
271,-0.04,8.1228
272,-0.02,7.8827
273,12.0,8.003
274,7.0,7.813
275,3.98,7.8532
276,16.0,8.0134
277,6.99,7.9633
278,10.0,7.9333
279,-0.04,7.8629
280,-0.03,7.8629999999999995
281,11.0,7.9732
282,-0.060000000000000005,7.8225999999999996
283,-0.03,7.8224
284,-0.04,7.8224
285,-0.01,7.6723
286,7.0,7.6429
287,0.0,7.473400000000001
288,-0.03,7.4231
289,4.0,7.4634
290,7.0,7.433400000000001
291,22.0,7.6538
292,3.99,7.6638
293,-0.04,7.6636
294,8.0,7.744
295,11.99,7.8139
296,13.0,7.7939
297,-0.02,7.6238
298,15.0,7.774299999999999
299,16.0,7.784400000000001
300,-0.03,7.6341
301,-0.04,7.6339999999999995
302,12.98,7.5938
303,8.0,7.5638
304,12.0,7.684
305,15.99,7.6342
306,8.0,7.6042
307,14.0,7.614199999999999
308,22.0,7.7242
309,8.0,7.664199999999999
310,20.0,7.7542
311,4.0,7.7945
312,13.99,7.734400000000001
313,18.99,7.7642999999999995
314,-0.01,7.614299999999999
315,20.0,7.6842999999999995
316,7.99,7.5942
317,-0.03,7.5945
318,19.0,7.684500000000001
319,-0.04,7.684500000000001
320,9.0,7.604500000000001
321,11.0,7.684500000000001
322,18.0,7.8649000000000004
323,22.0,8.0854
324,12.0,8.115499999999999
325,-0.04,7.9451
326,6.0,8.005700000000001
327,-0.08,8.0055
328,-0.060000000000000005,7.9052
329,9.0,7.755199999999999
330,12.99,7.8859
331,-0.04,7.885800000000001
332,15.0,8.0366
333,-0.03,7.9463
334,10.99,7.9462
335,-0.04,7.7863
336,-0.05,7.665800000000001
337,10.0,7.6759
338,17.0,7.776
339,-0.060000000000000005,7.6655999999999995
340,-0.05,7.665800000000001
341,14.0,7.675800000000001
342,-0.01,7.5657000000000005
343,-0.01,7.4456
344,10.99,7.515499999999999
345,8.96,7.5851
346,12.0,7.5651
347,-0.05,7.5647
348,-0.03,7.5044
349,6.0,7.5044
350,15.0,7.5347
351,9.0,7.6047
352,3.0,7.6350999999999996
353,6.0,7.6254
354,9.97,7.5351
355,7.99,7.455
356,15.0,7.6053
357,2.0,7.6255
358,19.98,7.6754999999999995
359,-0.04,7.5151
360,-0.060000000000000005,7.474500000000001
361,15.99,7.6348
362,12.0,7.7554
363,-0.07,7.755
364,18.0,7.9352
365,-0.03,7.8449
366,-0.03,7.6546
367,19.0,7.7746
368,-0.04,7.5942
369,7.0,7.614199999999999
370,7.0,7.5042
371,14.98,7.654400000000001
372,12.0,7.7746
373,19.95,7.8541
374,14.99,7.934
375,-0.08,7.893400000000001
376,-0.060000000000000005,7.7328
377,8.0,7.7429
378,7.0,7.712899999999999
379,10.0,7.813300000000001
380,3.0,7.8436
381,8.99,7.8235
382,-0.04,7.8237
383,-0.03,7.8237
384,-0.07,7.8234
385,-0.03,7.823200000000001
386,-0.02,7.752999999999999
387,-0.05,7.7525
388,6.0,7.812799999999999
389,-0.07,7.7721
390,-0.02,7.7019
391,-0.08,7.4811000000000005
392,-0.03,7.4409
393,-0.04,7.4409
394,-0.02,7.3607000000000005
395,19.0,7.4308000000000005
396,21.0,7.510800000000001
397,15.0,7.6610000000000005
398,3.0,7.541
399,10.0,7.481
400,7.98,7.5611
401,12.0,7.6815
402,9.0,7.641699999999999
403,1.0,7.5717
404,-0.03,7.4514
405,-0.05,7.291
406,11.99,7.330900000000001
407,-0.03,7.190600000000001
408,2.98,7.0004
409,19.0,7.110399999999999
410,10.0,7.0104
411,0.0,6.9704
412,3.0,6.860499999999999
413,-0.02,6.6704
414,19.99,6.8704
415,5.0,6.7204
416,14.0,6.7805
417,-0.05,6.7802999999999995
418,10.0,6.6903
419,-0.01,6.6906
420,11.0,6.7105999999999995
421,11.99,6.7204999999999995
422,17.0,6.7105
423,9.0,6.5805
424,2.0,6.480499999999999
425,6.0,6.540900000000001
426,9.0,6.5709
427,23.97,6.8114
428,11.0,6.922000000000001
429,5.0,6.882000000000001
430,20.0,6.952100000000001
431,7.0,7.0225
432,12.0,6.9925
433,16.0,7.1528
434,-0.060000000000000005,7.0423
435,9.0,7.1327
436,-0.060000000000000005,7.1326
437,-0.02,7.0324
438,-0.04,6.862
439,0.0,6.8626
440,-0.060000000000000005,6.8625
441,19.0,6.9125
442,9.0,7.0026
443,-0.08,7.001900000000001
444,11.0,7.002000000000001
445,16.0,7.0724
446,-0.02,6.9522
447,4.97,7.0024
448,-0.04,7.0023
449,-0.02,6.9421
450,5.99,6.852
451,-0.07,6.7613
452,20.0,6.9313
453,22.99,7.1012
454,5.0,7.0515
455,-0.04,6.9712
456,-0.060000000000000005,6.8206
457,11.0,6.9106
458,17.0,6.880800000000001
459,6.0,6.9412
460,7.99,7.021699999999999
461,15.0,7.011799999999999
462,9.97,6.991499999999999
463,8.0,7.0722000000000005
464,8.97,6.9819
465,4.0,7.022200000000001
466,5.0,7.0725
467,7.0,6.9525
468,13.0,7.0828999999999995
469,7.95,7.0924000000000005
470,9.0,7.1124
471,11.0,7.0725999999999996
472,-0.05,6.952100000000001
473,7.97,6.8323
474,15.0,6.8324
475,12.98,6.962999999999999
476,6.0,7.0236
477,6.0,7.0036000000000005
478,12.0,7.0536
479,-0.03,6.9533000000000005
480,-0.060000000000000005,6.9227
481,-0.060000000000000005,6.8322
482,-0.060000000000000005,6.832000000000001
483,19.0,7.0223
484,6.98,7.0927999999999995
485,-0.08,7.0923
486,0.0,7.0925
487,-0.07,7.0923
488,2.0,7.0523
489,3.0,7.082999999999999
490,-0.060000000000000005,7.0826
491,-0.060000000000000005,7.0828
492,13.94,7.2225
493,10.0,7.3229
494,10.0,7.4231
495,16.0,7.3931
496,-0.03,7.182799999999999
497,12.98,7.1626
498,-0.060000000000000005,7.132000000000001
499,-0.02,7.0318
500,15.0,7.102
501,10.0,7.082000000000001
502,-0.07,6.9913
503,14.0,7.1213
504,-0.05,7.1211
505,-0.05,7.1211
506,-0.05,7.0007
507,18.94,7.1903999999999995
508,-0.060000000000000005,7.16
509,-0.060000000000000005,6.9694
510,14.0,7.0094
511,13.0,7.1394
512,4.0,7.149400000000001
513,15.98,7.3094
514,8.0,7.189500000000001
515,13.98,7.279299999999999
516,16.99,7.3092
517,9.0,7.3997
518,6.0,7.3597
519,-0.05,7.359299999999999
520,-0.08,7.2485
521,17.0,7.2986
522,2.0,7.1486
523,19.0,7.2486
524,12.97,7.358300000000001
525,-0.04,7.297899999999999
526,-0.03,7.2076
527,-0.05,6.9674000000000005
528,8.0,6.9374
529,24.0,7.1274
530,26.0,7.1874
531,2.0,7.1374
532,14.0,7.1574
533,-0.060000000000000005,6.9967999999999995
534,-0.03,6.9971000000000005
535,10.97,7.0168
536,13.0,7.1474
537,13.0,7.2776
538,-0.09999999999999999,7.277
539,-0.03,7.2767
540,-0.07,7.276599999999999
541,-0.060000000000000005,7.086
542,4.95,7.0455
543,-0.060000000000000005,7.0457
544,19.97,7.1354
545,13.0,7.1053999999999995
546,11.94,7.225
547,9.0,7.2653
548,6.0,7.3257
549,10.0,7.4259
550,10.0,7.466
551,-0.060000000000000005,7.4661
552,-0.060000000000000005,7.265499999999999
553,17.0,7.2056000000000004
554,-0.09999999999999999,7.1546
555,17.0,7.325
556,18.0,7.5056
557,8.0,7.475600000000001
558,-0.03,7.3053
559,-0.060000000000000005,7.2447
560,12.0,7.284800000000001
561,11.0,7.244800000000001
562,17.0,7.3151
563,-0.03,7.2348
564,16.97,7.3148
565,-0.08,7.274
566,7.0,7.294
567,11.0,7.334
568,14.0,7.343999999999999
569,9.0,7.354500000000001
570,8.0,7.3445
