update,total_calls,failed_calls,ratio,avg_latency_ms
0,129,31,0.24031007751937986,252.02400000000048
1,257,51,0.19844357976653695,252.02400000000048
2,385,80,0.2077922077922078,252.02400000000048
3,513,103,0.20077972709551656,252.02400000000048
4,641,120,0.187207488299532,252.02400000000048
5,769,137,0.17815344603381014,252.02400000000048
6,897,178,0.19843924191750278,252.02400000000048
7,1025,212,0.20682926829268292,252.02400000000048
8,1153,250,0.2168256721595837,252.02400000000048
9,1281,281,0.21935987509758,252.02400000000048
10,1409,305,0.21646557842441447,252.02400000000048
11,1537,339,0.22055953155497723,252.02400000000048
12,1665,364,0.21861861861861862,252.02400000000048
13,1793,387,0.2158393753485778,252.02400000000048
14,1921,405,0.2108276939094222,252.02400000000048
15,2049,422,0.20595412396290874,252.02400000000048
16,2177,448,0.2057877813504823,252.02400000000048
17,2305,471,0.20433839479392624,252.02400000000048
18,2433,496,0.2038635429510892,252.02400000000048
19,2561,507,0.19796954314720813,252.02400000000048
20,2689,517,0.19226478244700632,252.02400000000048
21,2817,538,0.19098331558395457,252.02400000000048
22,2945,564,0.19151103565365024,252.02400000000048
23,3073,586,0.19069313374552554,252.02400000000048
24,3201,615,0.19212746016869728,252.02400000000048
25,3329,641,0.19255031541003303,252.02400000000048
26,3457,659,0.19062771188892103,252.02400000000048
27,3585,676,0.18856345885634587,252.02400000000048
28,3713,694,0.18691085375706976,252.02400000000048
29,3841,721,0.18771153345482947,252.02400000000048
30,3969,751,0.1892164273116654,252.02400000000048
31,4097,762,0.18598974859653405,252.02400000000048
32,4225,781,0.18485207100591716,252.02400000000048
33,4353,804,0.1847002067539628,252.02400000000048
34,4481,822,0.1834411961615711,252.02400000000048
35,4609,837,0.18160121501410284,252.02400000000048
36,4737,854,0.18028287945957358,252.02400000000048
37,4865,877,0.1802672147995889,252.02400000000048
38,4993,890,0.17824954936911677,252.02400000000048
39,5121,915,0.17867603983596952,252.02400000000048
40,5249,927,0.1766050676319299,252.02400000000048
41,5377,945,0.17574855867584155,252.02400000000048
42,5505,961,0.1745685740236149,252.02400000000048
43,5633,993,0.17628262027338895,252.02400000000048
44,5761,1014,0.1760111091824336,252.02400000000048
45,5889,1031,0.1750721684496519,252.02400000000048
46,6017,1055,0.17533654645172012,252.02400000000048
47,6145,1074,0.17477624084621643,252.02400000000048
48,6273,1094,0.174398214570381,252.02400000000048
49,6401,1116,0.17434775816278705,252.02400000000048
50,6529,1137,0.17414611732271404,252.02400000000048
51,6657,1155,0.17350157728706625,252.02400000000048
52,6785,1165,0.17170228445099484,252.02400000000048
53,6913,1183,0.17112686243309708,252.02400000000048
54,7041,1199,0.17028831131941485,252.02400000000048
55,7169,1225,0.17087459896777793,252.02400000000048
