step,total_calls,failed_calls,ratio,avg_latency_ms,hint_source
1,1,0,0.0,0.0,random
2,3,0,0.0,0.0,random
3,5,0,0.0,0.0,random
4,8,0,0.0,0.0,random
5,9,0,0.0,0.0,random
6,10,0,0.0,0.0,random
7,11,0,0.0,0.0,random
8,13,0,0.0,0.0,random
9,14,0,0.0,0.0,random
10,18,0,0.0,0.0,random
11,21,0,0.0,0.0,random
12,24,0,0.0,0.0,random
13,25,0,0.0,0.0,random
14,26,0,0.0,0.0,random
15,27,0,0.0,0.0,random
16,31,0,0.0,0.0,random
17,35,0,0.0,0.0,random
18,36,0,0.0,0.0,random
19,39,0,0.0,0.0,random
20,41,0,0.0,0.0,random
21,44,0,0.0,0.0,random
22,45,0,0.0,0.0,random
23,48,0,0.0,0.0,random
24,51,0,0.0,0.0,random
25,54,0,0.0,0.0,random
26,55,0,0.0,0.0,random
27,58,0,0.0,0.0,random
28,60,0,0.0,0.0,random
29,63,0,0.0,0.0,random
30,66,0,0.0,0.0,random
31,67,0,0.0,0.0,random
32,68,0,0.0,0.0,random
33,70,0,0.0,0.0,random
34,72,0,0.0,0.0,random
35,73,0,0.0,0.0,random
36,74,0,0.0,0.0,random
37,79,0,0.0,0.0,random
38,81,0,0.0,0.0,random
39,85,0,0.0,0.0,random
40,86,0,0.0,0.0,random
41,87,0,0.0,0.0,random
42,88,0,0.0,0.0,random
43,90,0,0.0,0.0,random
44,92,0,0.0,0.0,random
45,93,0,0.0,0.0,random
46,96,0,0.0,0.0,random
47,98,0,0.0,0.0,random
48,99,0,0.0,0.0,random
49,100,0,0.0,0.0,random
50,102,0,0.0,0.0,random
51,103,0,0.0,0.0,random
52,104,0,0.0,0.0,random
53,106,0,0.0,0.0,random
54,108,0,0.0,0.0,random
55,109,0,0.0,0.0,random
56,110,0,0.0,0.0,random
57,111,0,0.0,0.0,random
58,113,0,0.0,0.0,random
59,114,0,0.0,0.0,random
60,115,0,0.0,0.0,random
61,117,0,0.0,0.0,random
62,118,0,0.0,0.0,random
63,120,0,0.0,0.0,random
64,121,0,0.0,0.0,random
65,123,0,0.0,0.0,random
66,124,0,0.0,0.0,random
67,125,0,0.0,0.0,random
68,126,0,0.0,0.0,random
69,128,0,0.0,0.0,random
70,130,0,0.0,0.0,random
71,132,0,0.0,0.0,random
72,133,0,0.0,0.0,random
73,134,0,0.0,0.0,random
74,135,0,0.0,0.0,random
75,138,0,0.0,0.0,random
76,139,0,0.0,0.0,random
77,140,0,0.0,0.0,random
78,141,0,0.0,0.0,random
79,142,0,0.0,0.0,random
80,143,0,0.0,0.0,random
81,144,0,0.0,0.0,random
82,145,0,0.0,0.0,random
83,146,0,0.0,0.0,random
84,147,0,0.0,0.0,random
85,148,0,0.0,0.0,random
86,150,0,0.0,0.0,random
87,151,0,0.0,0.0,random
88,152,0,0.0,0.0,random
89,153,0,0.0,0.0,random
90,154,0,0.0,0.0,random
91,155,0,0.0,0.0,random
92,156,0,0.0,0.0,random
93,157,0,0.0,0.0,random
94,158,0,0.0,0.0,random
95,160,0,0.0,0.0,random
96,161,0,0.0,0.0,random
97,162,0,0.0,0.0,random
98,163,0,0.0,0.0,random
99,165,0,0.0,0.0,random
100,166,0,0.0,0.0,random
101,167,0,0.0,0.0,random
102,168,0,0.0,0.0,random
103,170,0,0.0,0.0,random
104,171,0,0.0,0.0,random
105,172,0,0.0,0.0,random
106,173,0,0.0,0.0,random
107,174,0,0.0,0.0,random
108,175,0,0.0,0.0,random
109,178,0,0.0,0.0,random
110,179,0,0.0,0.0,random
111,180,0,0.0,0.0,random
112,181,0,0.0,0.0,random
113,182,0,0.0,0.0,random
114,183,0,0.0,0.0,random
115,184,0,0.0,0.0,random
116,185,0,0.0,0.0,random
117,186,0,0.0,0.0,random
118,189,0,0.0,0.0,random
119,190,0,0.0,0.0,random
120,192,0,0.0,0.0,random
121,193,0,0.0,0.0,random
122,194,0,0.0,0.0,random
123,195,0,0.0,0.0,random
124,197,0,0.0,0.0,random
125,198,0,0.0,0.0,random
126,199,0,0.0,0.0,random
127,200,0,0.0,0.0,random
128,201,0,0.0,0.0,random
129,202,0,0.0,0.0,random
130,203,0,0.0,0.0,random
131,204,0,0.0,0.0,random
132,206,0,0.0,0.0,random
133,207,0,0.0,0.0,random
134,208,0,0.0,0.0,random
135,209,0,0.0,0.0,random
136,210,0,0.0,0.0,random
137,212,0,0.0,0.0,random
138,213,0,0.0,0.0,random
139,214,0,0.0,0.0,random
140,215,0,0.0,0.0,random
141,216,0,0.0,0.0,random
142,217,0,0.0,0.0,random
143,218,0,0.0,0.0,random
144,219,0,0.0,0.0,random
145,220,0,0.0,0.0,random
146,222,0,0.0,0.0,random
147,223,0,0.0,0.0,random
148,224,0,0.0,0.0,random
149,225,0,0.0,0.0,random
150,227,0,0.0,0.0,random
151,229,0,0.0,0.0,random
152,230,0,0.0,0.0,random
153,232,0,0.0,0.0,random
154,233,0,0.0,0.0,random
155,234,0,0.0,0.0,random
156,235,0,0.0,0.0,random
157,236,0,0.0,0.0,random
158,237,0,0.0,0.0,random
159,238,0,0.0,0.0,random
160,239,0,0.0,0.0,random
161,240,0,0.0,0.0,random
162,241,0,0.0,0.0,random
163,242,0,0.0,0.0,random
164,243,0,0.0,0.0,random
165,244,0,0.0,0.0,random
166,245,0,0.0,0.0,random
167,246,0,0.0,0.0,random
168,247,0,0.0,0.0,random
169,248,0,0.0,0.0,random
170,249,0,0.0,0.0,random
171,250,0,0.0,0.0,random
172,251,0,0.0,0.0,random
173,252,0,0.0,0.0,random
174,253,0,0.0,0.0,random
175,254,0,0.0,0.0,random
176,255,0,0.0,0.0,random
177,256,0,0.0,0.0,random
178,257,0,0.0,0.0,random
179,258,0,0.0,0.0,random
180,259,0,0.0,0.0,random
181,260,0,0.0,0.0,random
182,261,0,0.0,0.0,random
183,263,0,0.0,0.0,random
184,266,0,0.0,0.0,random
185,267,0,0.0,0.0,random
186,268,0,0.0,0.0,random
187,269,0,0.0,0.0,random
188,270,0,0.0,0.0,random
189,271,0,0.0,0.0,random
190,272,0,0.0,0.0,random
191,273,0,0.0,0.0,random
192,274,0,0.0,0.0,random
193,275,0,0.0,0.0,random
194,276,0,0.0,0.0,random
195,277,0,0.0,0.0,random
196,278,0,0.0,0.0,random
197,280,0,0.0,0.0,random
198,281,0,0.0,0.0,random
199,282,0,0.0,0.0,random
200,283,0,0.0,0.0,random
201,284,0,0.0,0.0,random
202,285,0,0.0,0.0,random
203,286,0,0.0,0.0,random
204,287,0,0.0,0.0,random
205,288,0,0.0,0.0,random
206,289,0,0.0,0.0,random
207,290,0,0.0,0.0,random
208,291,0,0.0,0.0,random
209,292,0,0.0,0.0,random
210,293,0,0.0,0.0,random
211,294,0,0.0,0.0,random
212,295,0,0.0,0.0,random
213,296,0,0.0,0.0,random
214,297,0,0.0,0.0,random
215,298,0,0.0,0.0,random
