update,policy_loss,value_loss,entropy,steps
0,0.022943098098039627,nan,0.0,4
1,0.039836619049310684,nan,0.0,9
2,0.015340789221227169,nan,0.0,11
3,0.01674746163189411,nan,0.0,13
4,0.016940928995609283,nan,0.0,14
5,0.014136211946606636,nan,0.0,15
6,0.013974199071526527,nan,0.0,17
7,0.014733729884028435,nan,0.0,20
8,0.015464859083294868,nan,0.0,22
9,0.015606769360601902,nan,0.0,23
10,0.027988800778985023,nan,0.0,25
11,0.016241688281297684,nan,0.0,26
12,0.01523357629776001,nan,0.0,28
13,0.013292648829519749,nan,0.0,29
14,0.015339975245296955,nan,0.0,30
15,0.01249663345515728,nan,0.0,31
16,0.013010954484343529,nan,0.0,33
17,0.011854422278702259,nan,0.0,34
18,0.03916071355342865,nan,0.0,37
19,0.016697751358151436,nan,0.0,40
20,0.02721628174185753,nan,0.0,43
21,0.033491991460323334,nan,0.0,46
22,0.01244224514812231,nan,0.0,48
23,0.013218543492257595,nan,0.0,50
24,0.012993120588362217,nan,0.0,52
25,0.015064411796629429,nan,0.0,54
26,0.03183136135339737,nan,0.0,57
27,0.01344117522239685,nan,0.0,59
28,0.032314103096723557,nan,0.0,61
29,0.009477379731833935,nan,0.0,62
30,0.016399169340729713,nan,0.0,63
31,0.009880430065095425,nan,0.0,64
32,0.031158067286014557,nan,0.0,67
33,0.02780761569738388,nan,0.0,70
34,0.015144898556172848,nan,0.0,71
35,0.012759728357195854,nan,0.0,73
36,0.041777994483709335,nan,0.0,76
37,0.026065774261951447,nan,0.0,80
38,0.009541594423353672,nan,0.0,81
39,0.027760567143559456,nan,0.0,83
40,0.014692951925098896,nan,0.0,84
41,0.014655442908406258,nan,0.0,86
42,0.03879975900053978,nan,0.0,91
43,0.013110301457345486,nan,0.0,92
44,0.030993718653917313,nan,0.0,94
45,0.02607889287173748,nan,0.0,97
46,0.014391815289855003,nan,0.0,98
47,0.04206771403551102,nan,0.0,103
48,0.015290255658328533,nan,0.0,107
49,0.02622382901608944,nan,0.0,109
50,0.015356618911027908,nan,0.0,110
51,0.022168416529893875,nan,0.0,114
52,0.015508958138525486,nan,0.0,117
53,0.010604748502373695,nan,0.0,118
54,0.027635833248496056,nan,0.0,120
55,0.014779262244701385,nan,0.0,121
56,0.034461088478565216,nan,0.0,126
57,0.01249432098120451,nan,0.0,127
