step,episode,return,loss
5,1,0.0,0.0
8,2,0.0,0.0
10,3,0.0,0.0
15,4,0.0,0.0
17,5,22.0,0.0
18,6,9.0,0.0
19,7,0.0,0.0
23,8,0.0,0.0
27,9,8.0,0.0
32,10,0.0,0.0
34,11,19.0,0.0
39,12,0.0,0.0
41,13,14.0,0.0
42,14,0.0,0.0
43,15,0.0,0.0
48,16,0.0,0.0
53,17,20.0,0.0
55,18,0.0,0.0
58,19,20.0,0.0
59,20,0.0,0.0
60,21,0.0,0.0
62,22,0.0,0.0
67,23,0.0,0.0
69,24,11.0,0.0
74,25,0.0,0.0
78,26,2.0,0.0
82,27,0.0,0.0
84,28,16.0,0.0
89,29,0.0,0.0
92,30,16.0,0.0
97,31,0.0,0.0
99,32,0.0,0.0
104,33,0.0,0.0
106,34,18.0,0.0
109,35,25.0,0.0
111,36,14.0,0.0
113,37,0.0,0.0
115,38,12.0,0.0
118,39,0.0,0.0
123,40,0.0,0.0
126,41,0.0,0.0
128,42,11.0,0.0
133,43,0.0,5.854203701019287
134,44,0.0,0.0
137,45,0.0,0.0
140,46,0.0,0.0
141,47,0.0,0.0
142,48,12.0,0.0
147,49,0.0,0.0
150,50,0.0,0.0
151,51,15.0,0.0
156,52,0.0,0.0
161,53,17.0,0.0
162,54,8.0,0.0
164,55,5.0,0.0
168,56,0.0,0.0
171,57,0.0,0.0
176,58,0.0,0.0
180,59,0.0,0.0
181,60,10.0,0.0
182,61,0.0,0.0
185,62,10.0,0.0
190,63,0.0,0.0
192,64,0.0,0.0
193,65,5.0,0.0
194,66,0.0,0.0
197,67,14.0,0.0
201,68,0.0,0.0
202,69,0.0,0.0
203,70,0.0,0.0
204,71,0.0,0.0
205,72,22.0,0.0
207,73,12.0,0.0
212,74,0.0,0.0
213,75,5.0,0.0
218,76,0.0,0.0
221,77,0.0,0.0
226,78,0.0,0.0
229,79,0.0,0.0
230,80,0.0,0.0
231,81,0.0,0.0
232,82,0.0,0.0
233,83,0.0,0.0
236,84,15.0,0.0
237,85,0.0,0.0
239,86,16.0,0.0
241,87,17.0,0.0
243,88,0.0,0.0
246,89,0.0,0.0
247,90,0.0,0.0
251,91,9.0,0.0
252,92,0.0,0.0
253,93,0.0,0.0
254,94,0.0,0.0
255,95,23.0,0.0
256,96,11.0,0.0
257,97,0.0,5.704392433166504
258,98,1.0,0.0
259,99,1.0,0.0
263,100,0.0,0.0
267,101,0.0,0.0
268,102,0.0,0.0
271,103,0.0,0.0
272,104,0.0,0.0
273,105,0.0,0.0
274,106,0.0,0.0
276,107,0.0,0.0
277,108,8.0,0.0
278,109,0.0,0.0
282,110,14.0,0.0
284,111,0.0,0.0
289,112,0.0,0.0
290,113,0.0,0.0
291,114,0.0,0.0
296,115,6.0,0.0
297,116,1.0,0.0
298,117,18.0,0.0
303,118,0.0,0.0
305,119,19.0,0.0
308,120,0.0,0.0
310,121,0.0,0.0
312,122,10.0,0.0
314,123,0.0,0.0
316,124,0.0,0.0
317,125,0.0,0.0
320,126,0.0,0.0
322,127,0.0,0.0
327,128,0.0,0.0
330,129,0.0,0.0
335,130,14.0,0.0
340,131,0.0,0.0
343,132,0.0,0.0
348,133,19.0,0.0
349,134,15.0,0.0
351,135,10.0,0.0
356,136,0.0,0.0
361,137,0.0,0.0
363,138,0.0,0.0
364,139,16.0,0.0
365,140,7.0,0.0
367,141,0.0,0.0
369,142,0.0,0.0
374,143,0.0,0.0
379,144,24.0,0.0
380,145,0.0,0.0
381,146,0.0,0.0
382,147,8.0,0.0
384,148,4.0,0.0
389,149,0.0,4.883610725402832
390,150,0.0,0.0
391,151,0.0,0.0
392,152,0.0,0.0
393,153,17.0,0.0
395,154,18.0,0.0
398,155,13.0,0.0
402,156,13.0,0.0
404,157,12.0,0.0
406,158,5.0,0.0
409,159,16.0,0.0
414,160,8.0,0.0
415,161,0.0,0.0
416,162,0.0,0.0
417,163,0.0,0.0
419,164,10.0,0.0
420,165,0.0,0.0
423,166,0.0,0.0
427,167,0.0,0.0
431,168,16.0,0.0
434,169,4.0,0.0
435,170,11.0,0.0
437,171,0.0,0.0
439,172,18.0,0.0
441,173,0.0,0.0
442,174,0.0,0.0
443,175,4.0,0.0
444,176,8.0,0.0
445,177,0.0,0.0
447,178,0.0,0.0
450,179,0.0,0.0
452,180,26.0,0.0
453,181,0.0,0.0
455,182,0.0,0.0
459,183,0.0,0.0
460,184,0.0,0.0
461,185,0.0,0.0
463,186,14.0,0.0
464,187,0.0,0.0
465,188,0.0,0.0
466,189,22.0,0.0
471,190,1.0,0.0
472,191,0.0,0.0
474,192,0.0,0.0
475,193,0.0,0.0
477,194,0.0,0.0
480,195,9.0,0.0
482,196,5.0,0.0
487,197,0.0,0.0
488,198,0.0,0.0
491,199,0.0,0.0
494,200,0.0,0.0
495,201,0.0,0.0
499,202,0.0,0.0
500,203,0.0,0.0
503,204,0.0,0.0
508,205,0.0,0.0
510,206,5.0,0.0
513,207,16.0,6.906302452087402
514,208,14.0,0.0
515,209,0.0,0.0
517,210,6.0,0.0
520,211,1.0,0.0
524,212,0.0,0.0
525,213,11.0,0.0
529,214,0.0,0.0
534,215,14.0,0.0
539,216,0.0,0.0
540,217,0.0,0.0
545,218,0.0,0.0
546,219,3.0,0.0
550,220,0.0,0.0
555,221,0.0,0.0
556,222,0.0,0.0
557,223,0.0,0.0
559,224,17.0,0.0
560,225,12.0,0.0
563,226,7.0,0.0
564,227,6.0,0.0
565,228,11.0,0.0
570,229,0.0,0.0
572,230,0.0,0.0
574,231,10.0,0.0
576,232,22.0,0.0
577,233,0.0,0.0
580,234,10.0,0.0
582,235,0.0,0.0
585,236,4.0,0.0
586,237,0.0,0.0
587,238,1.0,0.0
588,239,0.0,0.0
590,240,22.0,0.0
592,241,13.0,0.0
597,242,0.0,0.0
598,243,8.0,0.0
599,244,0.0,0.0
600,245,0.0,0.0
602,246,0.0,0.0
604,247,0.0,0.0
605,248,0.0,0.0
606,249,14.0,0.0
607,250,0.0,0.0
608,251,19.0,0.0
609,252,15.0,0.0
611,253,0.0,0.0
612,254,0.0,0.0
613,255,0.0,0.0
615,256,19.0,0.0
616,257,0.0,0.0
617,258,0.0,0.0
619,259,0.0,0.0
624,260,3.0,0.0
629,261,0.0,0.0
634,262,0.0,0.0
635,263,0.0,0.0
636,264,9.0,0.0
641,265,0.0,8.20691967010498
642,266,22.0,0.0
644,267,14.0,0.0
646,268,0.0,0.0
647,269,0.0,0.0
648,270,14.0,0.0
653,271,0.0,0.0
654,272,4.0,0.0
655,273,10.0,0.0
656,274,0.0,0.0
657,275,0.0,0.0
658,276,15.0,0.0
663,277,0.0,0.0
666,278,16.0,0.0
667,279,18.0,0.0
669,280,9.0,0.0
671,281,7.0,0.0
673,282,16.0,0.0
674,283,6.0,0.0
676,284,0.0,0.0
678,285,0.0,0.0
681,286,15.0,0.0
682,287,8.0,0.0
684,288,3.0,0.0
689,289,0.0,0.0
690,290,0.0,0.0
691,291,13.0,0.0
692,292,0.0,0.0
696,293,0.0,0.0
698,294,25.0,0.0
700,295,0.0,0.0
701,296,6.0,0.0
703,297,13.0,0.0
706,298,14.0,0.0
710,299,13.0,0.0
715,300,22.0,0.0
716,301,0.0,0.0
717,302,0.0,0.0
718,303,0.0,0.0
720,304,0.0,0.0
721,305,2.0,0.0
724,306,20.0,0.0
725,307,6.0,0.0
729,308,0.0,0.0
734,309,0.0,0.0
737,310,3.0,0.0
738,311,0.0,0.0
740,312,16.0,0.0
744,313,0.0,0.0
745,314,0.0,0.0
746,315,20.0,0.0
748,316,0.0,0.0
750,317,1.0,0.0
752,318,9.0,0.0
753,319,0.0,0.0
755,320,17.0,0.0
756,321,0.0,0.0
757,322,9.0,0.0
760,323,5.0,0.0
762,324,21.0,0.0
764,325,0.0,0.0
768,326,0.0,0.0
769,327,0.0,10.714578628540039
770,328,11.0,0.0
773,329,9.0,0.0
778,330,0.0,0.0
782,331,0.0,0.0
783,332,10.0,0.0
785,333,25.0,0.0
786,334,0.0,0.0
788,335,2.0,0.0
789,336,4.0,0.0
791,337,7.0,0.0
793,338,0.0,0.0
796,339,0.0,0.0
800,340,5.0,0.0
801,341,17.0,0.0
802,342,0.0,0.0
803,343,0.0,0.0
805,344,0.0,0.0
809,345,0.0,0.0
811,346,0.0,0.0
812,347,0.0,0.0
813,348,0.0,0.0
818,349,0.0,0.0
819,350,15.0,0.0
824,351,10.0,0.0
829,352,0.0,0.0
831,353,0.0,0.0
834,354,0.0,0.0
839,355,7.0,0.0
840,356,9.0,0.0
841,357,0.0,0.0
842,358,17.0,0.0
843,359,14.0,0.0
847,360,14.0,0.0
848,361,16.0,0.0
849,362,10.0,0.0
852,363,0.0,0.0
853,364,18.0,0.0
855,365,18.0,0.0
856,366,9.0,0.0
857,367,4.0,0.0
860,368,7.0,0.0
861,369,0.0,0.0
866,370,0.0,0.0
868,371,11.0,0.0
870,372,24.0,0.0
871,373,0.0,0.0
872,374,9.0,0.0
873,375,0.0,0.0
874,376,12.0,0.0
877,377,4.0,0.0
878,378,0.0,0.0
880,379,2.0,0.0
882,380,0.0,0.0
885,381,9.0,0.0
886,382,0.0,0.0
891,383,0.0,0.0
895,384,0.0,0.0
899,385,21.0,5.2654709815979
900,386,9.0,0.0
