step,episode,return,loss
3,1,0.0,0.0
4,2,0.0,0.0
9,3,18.0,0.0
13,4,0.0,0.0
16,5,0.0,0.0
19,6,0.0,0.0
20,7,0.0,0.0
21,8,0.0,0.0
22,9,4.0,0.0
27,10,0.0,0.0
28,11,0.0,0.0
32,12,0.0,0.0
34,13,24.0,0.0
35,14,0.0,0.0
37,15,18.0,0.0
42,16,0.0,0.0
47,17,0.0,0.0
49,18,0.0,0.0
51,19,0.0,0.0
56,20,0.0,0.0
57,21,0.0,0.0
59,22,19.0,0.0
61,23,0.0,0.0
63,24,1.0,0.0
65,25,0.0,0.0
66,26,0.0,0.0
67,27,11.0,0.0
68,28,0.0,0.0
71,29,0.0,0.0
74,30,3.0,0.0
78,31,10.0,0.0
79,32,25.0,0.0
80,33,0.0,0.0
81,34,27.0,0.0
84,35,0.0,0.0
85,36,0.0,0.0
86,37,13.0,0.0
88,38,0.0,0.0
89,39,0.0,0.0
90,40,15.0,0.0
91,41,0.0,0.0
94,42,0.0,0.0
97,43,0.0,0.0
99,44,5.0,0.0
100,45,4.0,0.0
101,46,6.0,0.0
106,47,0.0,0.0
108,48,0.0,0.0
112,49,9.0,0.0
114,50,0.0,0.0
118,51,10.0,0.0
123,52,0.0,0.0
125,53,12.0,0.0
126,54,0.0,0.0
127,55,0.0,0.0
128,56,18.0,0.0
133,57,0.0,9.802928924560547
135,58,11.0,0.0
136,59,0.0,0.0
138,60,0.0,0.0
139,61,0.0,0.0
140,62,17.0,0.0
141,63,0.0,0.0
146,64,0.0,0.0
148,65,14.0,0.0
153,66,0.0,0.0
155,67,0.0,0.0
158,68,4.0,0.0
160,69,0.0,0.0
165,70,0.0,0.0
169,71,8.0,0.0
170,72,0.0,0.0
173,73,0.0,0.0
174,74,11.0,0.0
176,75,0.0,0.0
181,76,0.0,0.0
182,77,16.0,0.0
187,78,0.0,0.0
189,79,0.0,0.0
192,80,0.0,0.0
195,81,0.0,0.0
197,82,14.0,0.0
198,83,8.0,0.0
200,84,8.0,0.0
205,85,0.0,0.0
207,86,0.0,0.0
209,87,0.0,0.0
214,88,5.0,0.0
219,89,0.0,0.0
222,90,0.0,0.0
223,91,0.0,0.0
225,92,6.0,0.0
230,93,0.0,0.0
232,94,0.0,0.0
233,95,0.0,0.0
234,96,0.0,0.0
238,97,0.0,0.0
239,98,0.0,0.0
240,99,0.0,0.0
244,100,8.0,0.0
246,101,0.0,0.0
251,102,0.0,0.0
254,103,0.0,0.0
257,104,15.0,3.0679075717926025
259,105,18.0,0.0
264,106,0.0,0.0
269,107,0.0,0.0
272,108,0.0,0.0
273,109,23.0,0.0
275,110,0.0,0.0
278,111,0.0,0.0
281,112,0.0,0.0
282,113,7.0,0.0
284,114,17.0,0.0
285,115,0.0,0.0
287,116,8.0,0.0
289,117,0.0,0.0
291,118,0.0,0.0
293,119,10.0,0.0
295,120,0.0,0.0
297,121,0.0,0.0
298,122,0.0,0.0
303,123,0.0,0.0
307,124,0.0,0.0
310,125,23.0,0.0
315,126,1.0,0.0
316,127,0.0,0.0
317,128,0.0,0.0
319,129,9.0,0.0
320,130,22.0,0.0
323,131,0.0,0.0
327,132,0.0,0.0
329,133,5.0,0.0
330,134,15.0,0.0
335,135,0.0,0.0
336,136,3.0,0.0
341,137,0.0,0.0
345,138,0.0,0.0
347,139,9.0,0.0
348,140,20.0,0.0
351,141,0.0,0.0
356,142,0.0,0.0
358,143,0.0,0.0
362,144,0.0,0.0
365,145,0.0,0.0
369,146,4.0,0.0
371,147,15.0,0.0
374,148,15.0,0.0
375,149,0.0,0.0
377,150,0.0,0.0
379,151,0.0,0.0
380,152,0.0,0.0
381,153,13.0,0.0
382,154,2.0,0.0
386,155,0.0,5.1527180671691895
387,156,16.0,0.0
390,157,11.0,0.0
395,158,0.0,0.0
398,159,0.0,0.0
399,160,21.0,0.0
404,161,0.0,0.0
405,162,12.0,0.0
407,163,0.0,0.0
412,164,0.0,0.0
413,165,0.0,0.0
416,166,16.0,0.0
417,167,11.0,0.0
421,168,2.0,0.0
422,169,19.0,0.0
425,170,9.0,0.0
429,171,15.0,0.0
430,172,0.0,0.0
431,173,0.0,0.0
433,174,0.0,0.0
435,175,18.0,0.0
436,176,0.0,0.0
438,177,13.0,0.0
440,178,0.0,0.0
444,179,13.0,0.0
448,180,18.0,0.0
450,181,0.0,0.0
455,182,0.0,0.0
457,183,13.0,0.0
461,184,9.0,0.0
465,185,0.0,0.0
467,186,0.0,0.0
469,187,0.0,0.0
474,188,0.0,0.0
476,189,0.0,0.0
478,190,0.0,0.0
481,191,15.0,0.0
484,192,0.0,0.0
489,193,0.0,0.0
490,194,0.0,0.0
494,195,0.0,0.0
495,196,0.0,0.0
500,197,0.0,0.0
501,198,0.0,0.0
503,199,5.0,0.0
506,200,19.0,0.0
508,201,0.0,0.0
510,202,19.0,0.0
514,203,6.0,10.601993560791016
516,204,11.0,0.0
519,205,16.0,0.0
520,206,0.0,0.0
524,207,0.0,0.0
526,208,0.0,0.0
527,209,0.0,0.0
532,210,13.0,0.0
534,211,7.0,0.0
535,212,0.0,0.0
536,213,0.0,0.0
538,214,0.0,0.0
543,215,0.0,0.0
546,216,13.0,0.0
548,217,10.0,0.0
552,218,0.0,0.0
553,219,0.0,0.0
558,220,4.0,0.0
560,221,17.0,0.0
561,222,21.0,0.0
564,223,7.0,0.0
566,224,3.0,0.0
568,225,0.0,0.0
569,226,0.0,0.0
572,227,0.0,0.0
573,228,13.0,0.0
575,229,0.0,0.0
577,230,10.0,0.0
582,231,0.0,0.0
587,232,0.0,0.0
588,233,0.0,0.0
592,234,0.0,0.0
597,235,19.0,0.0
598,236,0.0,0.0
603,237,0.0,0.0
605,238,0.0,0.0
606,239,9.0,0.0
611,240,0.0,0.0
615,241,13.0,0.0
620,242,0.0,0.0
621,243,8.0,0.0
626,244,0.0,0.0
628,245,6.0,0.0
631,246,18.0,0.0
636,247,0.0,0.0
637,248,0.0,0.0
641,249,0.0,5.912095069885254
642,250,16.0,0.0
644,251,18.0,0.0
646,252,11.0,0.0
651,253,0.0,0.0
654,254,18.0,0.0
658,255,0.0,0.0
660,256,0.0,0.0
663,257,15.0,0.0
664,258,0.0,0.0
666,259,0.0,0.0
667,260,0.0,0.0
671,261,14.0,0.0
676,262,0.0,0.0
681,263,0.0,0.0
683,264,0.0,0.0
688,265,0.0,0.0
693,266,0.0,0.0
698,267,0.0,0.0
699,268,16.0,0.0
702,269,2.0,0.0
703,270,0.0,0.0
706,271,0.0,0.0
710,272,23.0,0.0
713,273,0.0,0.0
716,274,0.0,0.0
717,275,0.0,0.0
720,276,0.0,0.0
721,277,13.0,0.0
722,278,19.0,0.0
726,279,2.0,0.0
729,280,0.0,0.0
730,281,2.0,0.0
735,282,0.0,0.0
737,283,0.0,0.0
739,284,0.0,0.0
740,285,0.0,0.0
745,286,0.0,0.0
746,287,0.0,0.0
750,288,15.0,0.0
751,289,14.0,0.0
754,290,0.0,0.0
759,291,0.0,0.0
763,292,0.0,0.0
764,293,0.0,0.0
769,294,0.0,4.046624183654785
770,295,0.0,0.0
771,296,20.0,0.0
776,297,0.0,0.0
777,298,0.0,0.0
780,299,0.0,0.0
784,300,0.0,0.0
785,301,9.0,0.0
786,302,0.0,0.0
789,303,0.0,0.0
790,304,0.0,0.0
791,305,0.0,0.0
796,306,0.0,0.0
797,307,0.0,0.0
801,308,22.0,0.0
806,309,0.0,0.0
809,310,0.0,0.0
810,311,0.0,0.0
812,312,8.0,0.0
813,313,26.0,0.0
814,314,0.0,0.0
816,315,7.0,0.0
820,316,0.0,0.0
822,317,20.0,0.0
823,318,21.0,0.0
824,319,17.0,0.0
829,320,0.0,0.0
834,321,0.0,0.0
839,322,0.0,0.0
840,323,18.0,0.0
843,324,10.0,0.0
845,325,0.0,0.0
846,326,0.0,0.0
848,327,0.0,0.0
849,328,0.0,0.0
851,329,0.0,0.0
852,330,0.0,0.0
854,331,0.0,0.0
855,332,0.0,0.0
858,333,6.0,0.0
863,334,0.0,0.0
867,335,10.0,0.0
868,336,15.0,0.0
873,337,0.0,0.0
874,338,0.0,0.0
878,339,20.0,0.0
879,340,11.0,0.0
880,341,22.0,0.0
884,342,20.0,0.0
886,343,12.0,0.0
888,344,13.0,0.0
890,345,0.0,0.0
894,346,0.0,0.0
895,347,0.0,0.0
900,348,0.0,10.700058937072754
903,349,21.0,0.0
906,350,15.0,0.0
908,351,6.0,0.0
909,352,11.0,0.0
913,353,17.0,0.0
917,354,0.0,0.0
918,355,2.0,0.0
919,356,12.0,0.0
921,357,10.0,0.0
926,358,4.0,0.0
928,359,0.0,0.0
933,360,0.0,0.0
935,361,0.0,0.0
939,362,1.0,0.0
944,363,0.0,0.0
947,364,18.0,0.0
952,365,0.0,0.0
955,366,13.0,0.0
957,367,17.0,0.0
958,368,0.0,0.0
960,369,0.0,0.0
961,370,0.0,0.0
966,371,0.0,0.0
967,372,0.0,0.0
969,373,4.0,0.0
970,374,7.0,0.0
973,375,8.0,0.0
975,376,0.0,0.0
976,377,0.0,0.0
977,378,19.0,0.0
980,379,0.0,0.0
981,380,0.0,0.0
983,381,0.0,0.0
986,382,1.0,0.0
988,383,0.0,0.0
989,384,0.0,0.0
993,385,20.0,0.0
994,386,0.0,0.0
995,387,0.0,0.0
996,388,0.0,0.0
998,389,0.0,0.0
1000,390,9.0,0.0
1002,391,6.0,0.0
1003,392,0.0,0.0
1006,393,0.0,0.0
1008,394,0.0,0.0
1010,395,7.0,0.0
1014,396,8.0,0.0
1015,397,0.0,0.0
1016,398,23.0,0.0
1017,399,11.0,0.0
1020,400,12.0,0.0
1021,401,0.0,0.0
1023,402,9.0,0.0
1026,403,3.0,9.873223304748535
1029,404,0.0,0.0
1031,405,15.0,0.0
1033,406,20.0,0.0
1034,407,15.0,0.0
1039,408,0.0,0.0
1043,409,18.0,0.0
1047,410,11.0,0.0
1049,411,0.0,0.0
1051,412,0.0,0.0
1055,413,21.0,0.0
1056,414,5.0,0.0
1057,415,0.0,0.0
1059,416,0.0,0.0
1064,417,0.0,0.0
1068,418,15.0,0.0
1069,419,12.0,0.0
1071,420,0.0,0.0
1074,421,16.0,0.0
1077,422,19.0,0.0
1080,423,0.0,0.0
1083,424,8.0,0.0
1085,425,0.0,0.0
1090,426,0.0,0.0
1094,427,11.0,0.0
1095,428,0.0,0.0
1100,429,0.0,0.0
1104,430,18.0,0.0
1105,431,10.0,0.0
1106,432,0.0,0.0
1108,433,0.0,0.0
1111,434,12.0,0.0
1112,435,11.0,0.0
1115,436,0.0,0.0
1118,437,11.0,0.0
1119,438,0.0,0.0
1124,439,17.0,0.0
1127,440,0.0,0.0
1128,441,0.0,0.0
1129,442,0.0,0.0
1134,443,0.0,0.0
1136,444,0.0,0.0
1137,445,0.0,0.0
