update,policy_loss,value_loss,entropy
0,-5.681067705154419e-08,12.738079071044922,2.4358465671539307
1,7.450580596923828e-09,12.722891807556152,2.3101439476013184
2,-2.0489096641540527e-08,11.837621688842773,2.2396600246429443
3,-5.960464477539063e-08,22.077007293701172,2.243845224380493
4,-3.725290298461914e-09,10.800494194030762,2.1709394454956055
5,-5.587935447692871e-08,16.489540100097656,2.2504165172576904
6,2.60770320892334e-08,18.411096572875977,2.079968214035034
7,1.30385160446167e-08,11.750274658203125,1.9279001951217651
8,-5.4016709327697754e-08,13.259893417358398,2.100792169570923
9,3.725290298461914e-09,19.52048110961914,2.177405834197998
10,4.470348358154297e-08,11.810683250427246,1.8507598638534546
11,-2.0489096641540527e-08,13.841326713562012,1.8492281436920166
12,4.0978193283081055e-08,6.629100322723389,2.0008161067962646
13,2.421438694000244e-08,18.035348892211914,1.9023669958114624
14,2.9802322387695312e-08,13.130410194396973,1.707502007484436
15,8.381903171539307e-09,7.220585823059082,1.7425429821014404
16,7.450580596923828e-09,17.46162223815918,1.7578182220458984
17,3.725290298461914e-09,11.217251777648926,1.561765432357788
18,2.2351741790771484e-08,11.612995147705078,1.4614546298980713
19,-2.60770320892334e-08,16.315534591674805,1.7060859203338623
20,-2.2351741790771484e-08,15.710189819335938,1.605226993560791
21,2.9802322387695312e-08,17.63869285583496,1.274239182472229
22,-1.4901161193847656e-08,21.634855270385742,1.3648767471313477
23,4.0978193283081055e-08,19.892528533935547,1.3404909372329712
24,-6.332993507385254e-08,19.21718978881836,1.4498772621154785
25,-2.60770320892334e-08,11.835443496704102,1.2722296714782715
26,7.450580596923828e-09,9.865571975708008,1.190334439277649
27,5.587935447692871e-09,9.543965339660645,1.223225474357605
28,-1.4901161193847656e-08,12.475317001342773,1.217975378036499
29,-5.587935447692871e-09,15.791814804077148,1.2892062664031982
30,-1.862645149230957e-08,12.746487617492676,1.055283546447754
31,-2.7008354663848877e-08,12.58456802368164,0.917036235332489
32,1.1175870895385742e-08,13.334860801696777,1.046249508857727
33,1.1175870895385742e-08,5.733067035675049,0.9276396036148071
34,-1.862645149230957e-08,12.877270698547363,0.9432000517845154
35,2.9802322387695312e-08,22.108718872070312,0.8444919586181641
36,-2.60770320892334e-08,4.9400248527526855,0.9557898640632629
37,7.450580596923828e-09,12.547879219055176,0.8767871856689453
38,-2.0489096641540527e-08,18.295297622680664,0.8743977546691895
39,1.862645149230957e-08,21.042160034179688,0.796106219291687
40,-3.3527612686157227e-08,10.966785430908203,0.8514232635498047
41,-6.332993507385254e-08,14.297346115112305,0.6980035901069641
42,3.725290298461914e-08,12.639151573181152,0.7543250918388367
43,1.862645149230957e-09,8.84908676147461,0.7163739800453186
44,6.51925802230835e-09,17.69426918029785,0.5842754244804382
45,2.2351741790771484e-08,6.419668674468994,0.6610703468322754
46,1.1175870895385742e-08,12.887919425964355,0.5874577164649963
47,-0.0,6.52053165435791,0.5711601376533508
48,-1.862645149230957e-09,19.408411026000977,0.5744438171386719
49,7.450580596923828e-09,6.850323677062988,0.6155574917793274
50,-3.166496753692627e-08,11.039324760437012,0.5817453861236572
51,9.313225746154785e-09,7.5842390060424805,0.49231886863708496
52,-2.421438694000244e-08,12.695550918579102,0.535636842250824
53,3.725290298461914e-09,6.623618125915527,0.4857203960418701
54,-0.0,5.142199516296387,0.41761451959609985
55,1.7229467630386353e-08,7.605053901672363,0.38798558712005615
56,5.587935447692871e-09,3.4443812370300293,0.4156199097633362
57,-1.862645149230957e-09,15.777820587158203,0.5005619525909424
58,2.421438694000244e-08,13.33991813659668,0.3406360149383545
59,5.587935447692871e-09,10.047172546386719,0.40723562240600586
60,-3.4458935260772705e-08,12.068466186523438,0.3990478217601776
61,-9.313225746154785e-09,16.34819221496582,0.3910538852214813
62,-0.0,8.725418090820312,0.32659482955932617
63,-5.587935447692871e-09,11.15858268737793,0.4136330783367157
64,1.5832483768463135e-08,15.548599243164062,0.3310425877571106
65,-2.7939677238464355e-09,18.608243942260742,0.32411032915115356
66,-1.1175870895385742e-08,4.631223201751709,0.3173520565032959
67,-2.514570951461792e-08,9.56483268737793,0.31110021471977234
68,2.421438694000244e-08,15.374868392944336,0.26731812953948975
69,9.313225746154785e-09,8.38802719116211,0.2616627812385559
70,1.30385160446167e-08,10.337015151977539,0.3319315016269684
